channel,model,track,val_auc,test_auc
2l2tau,dnn,Run 2,0.9649905949828971,0.9628203239393315
2l2tau,dnn,Run 3,0.9592350568842208,0.9675036962344072
2l2tau,dnn,Combined,0.9634583712685321,0.9679456764276357
