 |       | HHggF      | HHVBF      | t      | Othertop      | Single-H      | VV      | VVV      | V      | W+jets      | Z+jets |
 | gamma_stat_SR__XGB_COMBINED_bin_0 | 0.00166783 / -0.00166783 | 0.00286795 / -0.00286795 | 0.0152876 / -0.0152876 | 0.0175708 / -0.0175708 | 0.020554 / -0.020554 | 0.0137005 / -0.0137005 | 0.0133313 / -0.0133313 | 0.0277454 / -0.0277454 | 1.7572e-08 / -1.7572e-08 | 0.0203552 / -0.0203552 |
 | gamma_stat_SR__XGB_COMBINED_bin_1 | 0.00320452 / -0.00320452 | 0.00618445 / -0.00618445 | 0.0251507 / -0.0251507 | 0.0156899 / -0.0156899 | 0.0290529 / -0.0290529 | 0.0223035 / -0.0223035 | 0.0155903 / -0.0155903 | 0.0300104 / -0.0300104 | 0.0709545 / -0.0709545 | 0.0424931 / -0.0424931 |
 | gamma_stat_SR__XGB_COMBINED_bin_2 | 0.00343504 / -0.00343504 | 0.0056615 / -0.0056615 | 0.0173946 / -0.0173946 | 0.0257449 / -0.0257449 | 0.0159957 / -0.0159957 | 0.0159373 / -0.0159373 | 0.0151017 / -0.0151017 | 0.0153601 / -0.0153601 | 0.00393487 / -0.00393487 | 0.0181337 / -0.0181337 |
 | gamma_stat_SR__XGB_COMBINED_bin_3 | 0.0104893 / -0.0104893 | 0.0187787 / -0.0187787 | 0.0335999 / -0.0335999 | 0.02886 / -0.02886 | 0.012541 / -0.012541 | 0.0288996 / -0.0288996 | 0.0254827 / -0.0254827 | 0.0329434 / -0.0329434 | 0.0189405 / -0.0189405 | 0.028281 / -0.028281 |
 | gamma_stat_SR__XGB_COMBINED_bin_4 | 0.00971431 / -0.00971431 | 0.0140256 / -0.0140256 | 0.0139439 / -0.0139439 | 0.0143914 / -0.0143914 | 0.0106498 / -0.0106498 | 0.0140148 / -0.0140148 | 0.0145106 / -0.0145106 | 0.010997 / -0.010997 | 0.0291853 / -0.0291853 | 0.00916096 / -0.00916096 |
 | gamma_stat_SR__XGB_COMBINED_bin_5 | 0.0179516 / -0.0179516 | 0.0225737 / -0.0225737 | 0.00971714 / -0.00971714 | 0.00513947 / -0.00513947 | 0.0134792 / -0.0134792 | 0.0112393 / -0.0112393 | 0.0148403 / -0.0148403 | 0.00340974 / -0.00340974 | 0.00283435 / -0.00283435 | 0.00355991 / -0.00355991 |
 | gamma_stat_SR__XGB_COMBINED_bin_6 | 0.0242121 / -0.0242121 | 0.0196769 / -0.0196769 | 0.00132292 / -0.00132292 | 0.00272316 / -0.00272316 | 0.0084535 / -0.0084535 | 0.00661369 / -0.00661369 | 0.00891578 / -0.00891578 | 0.00149363 / -0.00149363 | 1.55825e-08 / -1.55825e-08 | 0.00123839 / -0.00123839 |
 | gamma_stat_SR__XGB_COMBINED_bin_7 | 0.0422788 / -0.0422788 | 0.0206905 / -0.0206905 | 0.00121668 / -0.00121668 | 0.00132429 / -0.00132429 | 0.00255981 / -0.00255981 | 0.00266854 / -0.00266854 | 0.00422422 / -0.00422422 | 3.5299e-05 / -3.5299e-05 | 1.9622e-08 / -1.9622e-08 | 0.000239932 / -0.000239932 |
