 |       | HHggF      | HHVBF      | t      | Othertop      | Single-H      | VV      | VVV      | V      | W+jets      | Z+jets |
 | gamma_stat_SR__DNN_COMBINED_bin_0 | 0.000857656 / -0.000857656 | 0.00200121 / -0.00200121 | 0.00919604 / -0.00919604 | 0.00894158 / -0.00894158 | 0.0043364 / -0.0043364 | 0.00803989 / -0.00803989 | 0.00654705 / -0.00654705 | 0.0160983 / -0.0160983 | 0.00859011 / -0.00859011 | 0.0128892 / -0.0128892 |
 | gamma_stat_SR__DNN_COMBINED_bin_1 | 0.00140268 / -0.00140268 | 0.00288464 / -0.00288464 | 0.00824526 / -0.00824526 | 0.00783968 / -0.00783968 | 0.00413348 / -0.00413348 | 0.00830706 / -0.00830706 | 0.00806047 / -0.00806047 | 0.0063194 / -0.0063194 | 0.00935237 / -0.00935237 | 0.010311 / -0.010311 |
 | gamma_stat_SR__DNN_COMBINED_bin_2 | 0.00228309 / -0.00228309 | 0.00480037 / -0.00480037 | 0.00885919 / -0.00885919 | 0.00956925 / -0.00956925 | 0.00781064 / -0.00781064 | 0.00951386 / -0.00951386 | 0.00919028 / -0.00919028 | 0.00671461 / -0.00671461 | 0.013692 / -0.013692 | 0.00802782 / -0.00802782 |
 | gamma_stat_SR__DNN_COMBINED_bin_3 | 0.00444775 / -0.00444775 | 0.00730114 / -0.00730114 | 0.00956897 / -0.00956897 | 0.0101411 / -0.0101411 | 0.0124016 / -0.0124016 | 0.00940093 / -0.00940093 | 0.010627 / -0.010627 | 0.00605457 / -0.00605457 | 0.00851387 / -0.00851387 | 0.00680908 / -0.00680908 |
 | gamma_stat_SR__DNN_COMBINED_bin_4 | 0.00680298 / -0.00680298 | 0.00769463 / -0.00769463 | 0.00653762 / -0.00653762 | 0.00580559 / -0.00580559 | 0.00874252 / -0.00874252 | 0.00679647 / -0.00679647 | 0.00758969 / -0.00758969 | 0.00470072 / -0.00470072 | 0.00416754 / -0.00416754 | 0.00489259 / -0.00489259 |
 | gamma_stat_SR__DNN_COMBINED_bin_5 | 0.0150823 / -0.0150823 | 0.0155418 / -0.0155418 | 0.00615848 / -0.00615848 | 0.0052403 / -0.0052403 | 0.00694315 / -0.00694315 | 0.00617143 / -0.00617143 | 0.00685711 / -0.00685711 | 0.00852361 / -0.00852361 | 0.00603007 / -0.00603007 | 0.00351734 / -0.00351734 |
 | gamma_stat_SR__DNN_COMBINED_bin_6 | 0.0268977 / -0.0268977 | 0.020287 / -0.020287 | 0.00346523 / -0.00346523 | 0.00457738 / -0.00457738 | 0.0153794 / -0.0153794 | 0.00458824 / -0.00458824 | 0.00476759 / -0.00476759 | 0.00354695 / -0.00354695 | 0.000407075 / -0.000407075 | 0.0026169 / -0.0026169 |
 | gamma_stat_SR__DNN_COMBINED_bin_7 | 0.0480256 / -0.0480256 | 0.0262086 / -0.0262086 | 0.00162199 / -0.00162199 | 0.00328415 / -0.00328415 | 0.00664799 / -0.00664799 | 0.00208587 / -0.00208587 | 0.00191327 / -0.00191327 | 0.00113307 / -0.00113307 | 0.0016672 / -0.0016672 | 0.000753693 / -0.000753693 |
 | mu_XS_hh | -0.239925 / 0.213931 | -0.239925 / 0.213931 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
