 |       | HHggF      | HHVBF      | t      | Othertop      | Single-H      | VV      | VVV      | V      | W+jets      | Z+jets |
 | gamma_stat_SR__DNN_COMBINED_bin_0 | 0.00110198 / -0.00110198 | 0.00250413 / -0.00250413 | 0.0111708 / -0.0111708 | 0.0108416 / -0.0108416 | 0.00530919 / -0.00530919 | 0.00974782 / -0.00974782 | 0.00793751 / -0.00793751 | 0.0197352 / -0.0197352 | 0.0102228 / -0.0102228 | 0.0157708 / -0.0157708 |
 | gamma_stat_SR__DNN_COMBINED_bin_1 | 0.00169806 / -0.00169806 | 0.00340085 / -0.00340085 | 0.00943669 / -0.00943669 | 0.00895591 / -0.00895591 | 0.00476812 / -0.00476812 | 0.00948937 / -0.00948937 | 0.00920728 / -0.00920728 | 0.00729912 / -0.00729912 | 0.0104864 / -0.0104864 | 0.0118868 / -0.0118868 |
 | gamma_stat_SR__DNN_COMBINED_bin_2 | 0.00402983 / -0.00402983 | 0.00825166 / -0.00825166 | 0.0147836 / -0.0147836 | 0.0159389 / -0.0159389 | 0.0131368 / -0.0131368 | 0.0158459 / -0.0158459 | 0.0153063 / -0.0153063 | 0.011308 / -0.011308 | 0.0223842 / -0.0223842 | 0.0134937 / -0.0134937 |
 | gamma_stat_SR__DNN_COMBINED_bin_3 | 0.00624726 / -0.00624726 | 0.00998715 / -0.00998715 | 0.0127068 / -0.0127068 | 0.0134416 / -0.0134416 | 0.0165983 / -0.0165983 | 0.0124599 / -0.0124599 | 0.0140844 / -0.0140844 | 0.00811396 / -0.00811396 | 0.0110761 / -0.0110761 | 0.00910762 / -0.00910762 |
 | gamma_stat_SR__DNN_COMBINED_bin_4 | 0.00791051 / -0.00791051 | 0.00871355 / -0.00871355 | 0.00718697 / -0.00718697 | 0.00637044 / -0.00637044 | 0.00968677 / -0.00968677 | 0.00745735 / -0.00745735 | 0.00832734 / -0.00832734 | 0.00521519 / -0.00521519 | 0.00448843 / -0.00448843 | 0.00541766 / -0.00541766 |
 | gamma_stat_SR__DNN_COMBINED_bin_5 | 0.0215154 / -0.0215154 | 0.0215917 / -0.0215917 | 0.00830572 / -0.00830572 | 0.00705433 / -0.00705433 | 0.00943792 / -0.00943792 | 0.00830738 / -0.00830738 | 0.00922998 / -0.00922998 | 0.0116013 / -0.0116013 | 0.00796736 / -0.00796736 | 0.0047782 / -0.0047782 |
 | gamma_stat_SR__DNN_COMBINED_bin_6 | 0.03179 / -0.03179 | 0.0233504 / -0.0233504 | 0.00387194 / -0.00387194 | 0.00510516 / -0.00510516 | 0.0173201 / -0.0173201 | 0.00511702 / -0.00511702 | 0.00531681 / -0.00531681 | 0.00399973 / -0.00399973 | 0.000445614 / -0.000445614 | 0.00294531 / -0.00294531 |
 | gamma_stat_SR__DNN_COMBINED_bin_7 | 0.0495766 / -0.0495766 | 0.0263482 / -0.0263482 | 0.00158297 / -0.00158297 | 0.00319922 / -0.00319922 | 0.0065393 / -0.0065393 | 0.00203183 / -0.00203183 | 0.00186362 / -0.00186362 | 0.001116 / -0.001116 | 0.00159404 / -0.00159404 | 0.000740912 / -0.000740912 |
