 |       | HHggF      | HHVBF      | t      | Othertop      | Single-H      | VV      | VVV      | V      | W+jets      | Z+jets |
 | gamma_stat_SR__DNN_COMBINED_bin_0 | 0.00187612 / -0.00187612 | 0.00359222 / -0.00359222 | 0.0193735 / -0.0193735 | 0.0224825 / -0.0224825 | 0.0227452 / -0.0227452 | 0.0132771 / -0.0132771 | 0.0176319 / -0.0176319 | 0.0219271 / -0.0219271 | 0.0159346 / -0.0159346 | 0.0194994 / -0.0194994 |
 | gamma_stat_SR__DNN_COMBINED_bin_1 | 0.00297799 / -0.00297799 | 0.00598694 / -0.00598694 | 0.0208382 / -0.0208382 | 0.01281 / -0.01281 | 0.0217447 / -0.0217447 | 0.0169994 / -0.0169994 | 0.0138521 / -0.0138521 | 0.0186305 / -0.0186305 | 0.00440412 / -0.00440412 | 0.0227367 / -0.0227367 |
 | gamma_stat_SR__DNN_COMBINED_bin_2 | 0.00702597 / -0.00702597 | 0.0134053 / -0.0134053 | 0.0287496 / -0.0287496 | 0.0423039 / -0.0423039 | 0.0166548 / -0.0166548 | 0.0273967 / -0.0273967 | 0.0274058 / -0.0274058 | 0.036887 / -0.036887 | 0.0311416 / -0.0311416 | 0.0371267 / -0.0371267 |
 | gamma_stat_SR__DNN_COMBINED_bin_3 | 0.0112531 / -0.0112531 | 0.0181911 / -0.0181911 | 0.0295407 / -0.0295407 | 0.0330158 / -0.0330158 | 0.0205147 / -0.0205147 | 0.0290571 / -0.0290571 | 0.0270844 / -0.0270844 | 0.0206291 / -0.0206291 | 0.0543981 / -0.0543981 | 0.0361149 / -0.0361149 |
 | gamma_stat_SR__DNN_COMBINED_bin_4 | 0.0114746 / -0.0114746 | 0.0171777 / -0.0171777 | 0.0139123 / -0.0139123 | 0.00972644 / -0.00972644 | 0.0112041 / -0.0112041 | 0.0148163 / -0.0148163 | 0.0135512 / -0.0135512 | 0.0178499 / -0.0178499 | 0.018515 / -0.018515 | 0.00777994 / -0.00777994 |
 | gamma_stat_SR__DNN_COMBINED_bin_5 | 0.0158807 / -0.0158807 | 0.0180956 / -0.0180956 | 0.00747469 / -0.00747469 | 0.00612795 / -0.00612795 | 0.0130074 / -0.0130074 | 0.00980607 / -0.00980607 | 0.0102924 / -0.0102924 | 0.00475335 / -0.00475335 | 0.0091093 / -0.0091093 | 0.00424573 / -0.00424573 |
 | gamma_stat_SR__DNN_COMBINED_bin_6 | 0.0299558 / -0.0299558 | 0.0237443 / -0.0237443 | 0.00239783 / -0.00239783 | 0.00343683 / -0.00343683 | 0.00414322 / -0.00414322 | 0.00837439 / -0.00837439 | 0.00961312 / -0.00961312 | 0.00108201 / -0.00108201 | 2.54256e-08 / -2.54256e-08 | 0.00218683 / -0.00218683 |
 | gamma_stat_SR__DNN_COMBINED_bin_7 | 0.0518022 / -0.0518022 | 0.0237522 / -0.0237522 | 0.000591859 / -0.000591859 | 0.00180824 / -0.00180824 | 0.00704031 / -0.00704031 | 0.00475171 / -0.00475171 | 0.00531819 / -0.00531819 | 0.000282388 / -0.000282388 | 3.26528e-08 / -3.26528e-08 | 9.47723e-05 / -9.47723e-05 |
