 |       | HHggF      | HHVBF      | t      | Othertop      | Single-H      | VV      | VVV      | V      | W+jets      | Z+jets |
 | gamma_stat_SR__PNN_RUN3_bin_0 | 0.00202763 / -0.00202763 | 0.00372651 / -0.00372651 | 0.0128696 / -0.0128696 | 0.00297263 / -0.00297263 | 0.0179016 / -0.0179016 | 0.010485 / -0.010485 | 0.00657657 / -0.00657657 | 0.0210643 / -0.0210643 | 1.71483e-08 / -1.71483e-08 | 0.020729 / -0.020729 |
 | gamma_stat_SR__PNN_RUN3_bin_1 | 0.00304023 / -0.00304023 | 0.0076226 / -0.0076226 | 0.0183381 / -0.0183381 | 0.0132565 / -0.0132565 | 0.0175601 / -0.0175601 | 0.013732 / -0.013732 | 0.00912651 / -0.00912651 | 0.0221827 / -0.0221827 | 0.0018214 / -0.0018214 | 0.017862 / -0.017862 |
 | gamma_stat_SR__PNN_RUN3_bin_2 | 0.00483142 / -0.00483142 | 0.00827498 / -0.00827498 | 0.0192041 / -0.0192041 | 0.0250113 / -0.0250113 | 0.0117547 / -0.0117547 | 0.0158899 / -0.0158899 | 0.0129088 / -0.0129088 | 0.0192821 / -0.0192821 | 0.0187051 / -0.0187051 | 0.0305774 / -0.0305774 |
 | gamma_stat_SR__PNN_RUN3_bin_3 | 0.00602647 / -0.00602647 | 0.0105955 / -0.0105955 | 0.0138906 / -0.0138906 | 0.0132559 / -0.0132559 | 0.0120304 / -0.0120304 | 0.0133628 / -0.0133628 | 0.0128129 / -0.0128129 | 0.0128418 / -0.0128418 | 0.00590275 / -0.00590275 | 0.00919075 / -0.00919075 |
 | gamma_stat_SR__PNN_RUN3_bin_4 | 0.0135069 / -0.0135069 | 0.0176228 / -0.0176228 | 0.01669 / -0.01669 | 0.0116134 / -0.0116134 | 0.0119849 / -0.0119849 | 0.0173365 / -0.0173365 | 0.0193872 / -0.0193872 | 0.00818571 / -0.00818571 | 0.0744547 / -0.0744547 | 0.00963355 / -0.00963355 |
 | gamma_stat_SR__PNN_RUN3_bin_5 | 0.0206306 / -0.0206306 | 0.0221701 / -0.0221701 | 0.00761587 / -0.00761587 | 0.0201464 / -0.0201464 | 0.0100877 / -0.0100877 | 0.0139556 / -0.0139556 | 0.0184696 / -0.0184696 | 0.00741811 / -0.00741811 | 1.7933e-08 / -1.7933e-08 | 0.00578221 / -0.00578221 |
 | gamma_stat_SR__PNN_RUN3_bin_6 | 0.0250764 / -0.0250764 | 0.017906 / -0.017906 | 0.00348075 / -0.00348075 | 0.0057483 / -0.0057483 | 0.00600837 / -0.00600837 | 0.008477 / -0.008477 | 0.0122553 / -0.0122553 | 0.000690296 / -0.000690296 | 1.73572e-08 / -1.73572e-08 | 0.000908937 / -0.000908937 |
 | gamma_stat_SR__PNN_RUN3_bin_7 | 0.0467818 / -0.0467818 | 0.019311 / -0.019311 | 0.00141202 / -0.00141202 | 0.00512186 / -0.00512186 | 0.0122307 / -0.0122307 | 0.00341811 / -0.00341811 | 0.00979591 / -0.00979591 | 0.000993999 / -0.000993999 | 0.00255824 / -0.00255824 | 0.000427127 / -0.000427127 |
 | mu_XS_hh | 14.7343 / -10.8933 | 14.7343 / -10.8933 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
