 |       | HHggF      | HHVBF      | t      | Othertop      | Single-H      | VV      | VVV      | V      | W+jets      | Z+jets |
 | gamma_stat_LowMVA__MLP_COMBINED_bin_0 | 0.00163389 / -0.00163389 | 0.00221086 / -0.00221086 | 0.00468739 / -0.00468739 | 0.00828735 / -0.00828735 | 0.00868475 / -0.00868475 | 0.00663343 / -0.00663343 | 0.00415118 / -0.00415118 | 0.0181056 / -0.0181056 | 0.022391 / -0.022391 | 0.0191428 / -0.0191428 |
 | gamma_stat_LowMVA__MLP_COMBINED_bin_1 | 0.00741669 / -0.00741669 | 0.00846674 / -0.00846674 | 0.0174016 / -0.0174016 | 0.0228808 / -0.0228808 | 0.00989483 / -0.00989483 | 0.0131041 / -0.0131041 | 0.00932756 / -0.00932756 | 0.0246232 / -0.0246232 | 0.0482348 / -0.0482348 | 0.0288352 / -0.0288352 |
 | gamma_stat_LowMVA__MLP_COMBINED_bin_2 | 0.00769957 / -0.00769957 | 0.00605383 / -0.00605383 | 0.0119356 / -0.0119356 | 0.0118061 / -0.0118061 | 0.0031238 / -0.0031238 | 0.00788822 / -0.00788822 | 0.00637406 / -0.00637406 | 0.0159775 / -0.0159775 | 0.0139793 / -0.0139793 | 0.0139452 / -0.0139452 |
 | gamma_stat_LowMVA__MLP_COMBINED_bin_3 | 0.0118679 / -0.0118679 | 0.00864832 / -0.00864832 | 0.0143557 / -0.0143557 | 0.0138283 / -0.0138283 | 0.0149067 / -0.0149067 | 0.0109012 / -0.0109012 | 0.0090234 / -0.0090234 | 0.0180361 / -0.0180361 | 0.00811198 / -0.00811198 | 0.0127075 / -0.0127075 |
 | gamma_stat_LowMVA__MLP_COMBINED_bin_4 | 0.0125204 / -0.0125204 | 0.0136715 / -0.0136715 | 0.0124507 / -0.0124507 | 0.0115661 / -0.0115661 | 0.0169617 / -0.0169617 | 0.0110607 / -0.0110607 | 0.0127011 / -0.0127011 | 0.00746039 / -0.00746039 | 0.00616908 / -0.00616908 | 0.00819633 / -0.00819633 |
 | gamma_stat_LowMVA__MLP_COMBINED_bin_5 | 0.0126614 / -0.0126614 | 0.0111459 / -0.0111459 | 0.0111822 / -0.0111822 | 0.00777726 / -0.00777726 | 0.0115903 / -0.0115903 | 0.0114736 / -0.0114736 | 0.012562 / -0.012562 | 0.00544065 / -0.00544065 | 0.00339329 / -0.00339329 | 0.00538084 / -0.00538084 |
 | gamma_stat_LowMVA__MLP_COMBINED_bin_6 | 0.0155424 / -0.0155424 | 0.0174549 / -0.0174549 | 0.0111743 / -0.0111743 | 0.0122043 / -0.0122043 | 0.00810974 / -0.00810974 | 0.014296 / -0.014296 | 0.0162993 / -0.0162993 | 0.00402759 / -0.00402759 | 0.00463375 / -0.00463375 | 0.00595879 / -0.00595879 |
 | gamma_stat_LowMVA__MLP_COMBINED_bin_7 | 0.0113556 / -0.0113556 | 0.0129936 / -0.0129936 | 0.00570898 / -0.00570898 | 0.00463849 / -0.00463849 | 0.00946793 / -0.00946793 | 0.00944558 / -0.00944558 | 0.0112409 / -0.0112409 | 0.00193976 / -0.00193976 | 0.00150316 / -0.00150316 | 0.0030076 / -0.0030076 |
