 |       | HHggF      | HHVBF      | t      | Othertop      | Single-H      | VV      | VVV      | V      | W+jets      | Z+jets |
 | gamma_stat_SR__MLP_COMBINED_bin_0 | 0.000921131 / -0.000921131 | 0.00232181 / -0.00232181 | 0.00917173 / -0.00917173 | 0.00957778 / -0.00957778 | 0.00307118 / -0.00307118 | 0.00848177 / -0.00848177 | 0.00731406 / -0.00731406 | 0.0158285 / -0.0158285 | 0.00912777 / -0.00912777 | 0.0121753 / -0.0121753 |
 | gamma_stat_SR__MLP_COMBINED_bin_1 | 0.00147472 / -0.00147472 | 0.0032139 / -0.0032139 | 0.00769182 / -0.00769182 | 0.00688139 / -0.00688139 | 0.00547478 / -0.00547478 | 0.00806006 / -0.00806006 | 0.00800072 / -0.00800072 | 0.00884126 / -0.00884126 | 0.00807979 / -0.00807979 | 0.00877013 / -0.00877013 |
 | gamma_stat_SR__MLP_COMBINED_bin_2 | 0.00277931 / -0.00277931 | 0.00563377 / -0.00563377 | 0.00917563 / -0.00917563 | 0.010181 / -0.010181 | 0.00794255 / -0.00794255 | 0.0099393 / -0.0099393 | 0.00958521 / -0.00958521 | 0.00414838 / -0.00414838 | 0.011661 / -0.011661 | 0.0107909 / -0.0107909 |
 | gamma_stat_SR__MLP_COMBINED_bin_3 | 0.00470704 / -0.00470704 | 0.00602054 / -0.00602054 | 0.00954299 / -0.00954299 | 0.00933777 / -0.00933777 | 0.00989802 / -0.00989802 | 0.00879947 / -0.00879947 | 0.0101459 / -0.0101459 | 0.00684559 / -0.00684559 | 0.00802896 / -0.00802896 | 0.00607736 / -0.00607736 |
 | gamma_stat_SR__MLP_COMBINED_bin_4 | 0.00801441 / -0.00801441 | 0.00931648 / -0.00931648 | 0.00697609 / -0.00697609 | 0.00689855 / -0.00689855 | 0.011393 / -0.011393 | 0.00688989 / -0.00688989 | 0.0073972 / -0.0073972 | 0.00384883 / -0.00384883 | 0.00676546 / -0.00676546 | 0.00499291 / -0.00499291 |
 | gamma_stat_SR__MLP_COMBINED_bin_5 | 0.0165013 / -0.0165013 | 0.0158539 / -0.0158539 | 0.00575529 / -0.00575529 | 0.00412472 / -0.00412472 | 0.0105443 / -0.0105443 | 0.00590406 / -0.00590406 | 0.00568449 / -0.00568449 | 0.00360145 / -0.00360145 | 0.0058325 / -0.0058325 | 0.00446991 / -0.00446991 |
 | gamma_stat_SR__MLP_COMBINED_bin_6 | 0.0285478 / -0.0285478 | 0.0207253 / -0.0207253 | 0.00360951 / -0.00360951 | 0.00564816 / -0.00564816 | 0.0107086 / -0.0107086 | 0.00418151 / -0.00418151 | 0.00466698 / -0.00466698 | 0.00931908 / -0.00931908 | 0.000521107 / -0.000521107 | 0.00223662 / -0.00223662 |
 | gamma_stat_SR__MLP_COMBINED_bin_7 | 0.0444408 / -0.0444408 | 0.0241523 / -0.0241523 | 0.00156329 / -0.00156329 | 0.00153409 / -0.00153409 | 0.0074803 / -0.0074803 | 0.00182419 / -0.00182419 | 0.0018203 / -0.0018203 | 0.00056673 / -0.00056673 | 0.00142954 / -0.00142954 | 0.000808884 / -0.000808884 |
 | mu_XS_hh | 9.69725 / -7.77051 | 9.69725 / -7.77051 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
