 |       | HHggF      | HHVBF      | t      | Othertop      | Single-H      | VV      | VVV      | V      | W+jets      | Z+jets |
 | gamma_stat_SR__GNN_COMBINED_bin_0 | 0.000996205 / -0.000996205 | 0.00250238 / -0.00250238 | 0.00809403 / -0.00809403 | 0.00747432 / -0.00747432 | 0.0052328 / -0.0052328 | 0.00498521 / -0.00498521 | 0.00427672 / -0.00427672 | 0.00809135 / -0.00809135 | 0.0110171 / -0.0110171 | 0.00973939 / -0.00973939 |
 | gamma_stat_SR__GNN_COMBINED_bin_1 | 0.00167873 / -0.00167873 | 0.00377711 / -0.00377711 | 0.008063 / -0.008063 | 0.00786735 / -0.00786735 | 0.00354249 / -0.00354249 | 0.00722744 / -0.00722744 | 0.00613325 / -0.00613325 | 0.0100864 / -0.0100864 | 0.00828497 / -0.00828497 | 0.0106401 / -0.0106401 |
 | gamma_stat_SR__GNN_COMBINED_bin_2 | 0.00292474 / -0.00292474 | 0.00579284 / -0.00579284 | 0.00824594 / -0.00824594 | 0.00791248 / -0.00791248 | 0.00747235 / -0.00747235 | 0.0086912 / -0.0086912 | 0.00760271 / -0.00760271 | 0.00972468 / -0.00972468 | 0.0090227 / -0.0090227 | 0.008424 / -0.008424 |
 | gamma_stat_SR__GNN_COMBINED_bin_3 | 0.00495395 / -0.00495395 | 0.00924708 / -0.00924708 | 0.00781317 / -0.00781317 | 0.00749389 / -0.00749389 | 0.00867794 / -0.00867794 | 0.00833076 / -0.00833076 | 0.00878868 / -0.00878868 | 0.00862564 / -0.00862564 | 0.00787278 / -0.00787278 | 0.00543797 / -0.00543797 |
 | gamma_stat_SR__GNN_COMBINED_bin_4 | 0.00605546 / -0.00605546 | 0.00642653 / -0.00642653 | 0.00514973 / -0.00514973 | 0.00556436 / -0.00556436 | 0.00462189 / -0.00462189 | 0.00553495 / -0.00553495 | 0.0070344 / -0.0070344 | 0.0022628 / -0.0022628 | 0.00366074 / -0.00366074 | 0.00443613 / -0.00443613 |
 | gamma_stat_SR__GNN_COMBINED_bin_5 | 0.00831763 / -0.00831763 | 0.00685866 / -0.00685866 | 0.00298478 / -0.00298478 | 0.00293214 / -0.00293214 | 0.00658697 / -0.00658697 | 0.00444229 / -0.00444229 | 0.00518761 / -0.00518761 | 0.00197481 / -0.00197481 | 0.00204338 / -0.00204338 | 0.0020204 / -0.0020204 |
 | gamma_stat_SR__GNN_COMBINED_bin_6 | 0.0121772 / -0.0121772 | 0.00752132 / -0.00752132 | 0.0022937 / -0.0022937 | 0.00270823 / -0.00270823 | 0.0052424 / -0.0052424 | 0.00366251 / -0.00366251 | 0.00409121 / -0.00409121 | 0.00240844 / -0.00240844 | 0.000649543 / -0.000649543 | 0.00130938 / -0.00130938 |
 | gamma_stat_SR__GNN_COMBINED_bin_7 | 0.0193727 / -0.0193727 | 0.00811155 / -0.00811155 | 0.00161601 / -0.00161601 | 0.00324804 / -0.00324804 | 0.00760485 / -0.00760485 | 0.00336925 / -0.00336925 | 0.00357371 / -0.00357371 | 0.000674282 / -0.000674282 | 2.9575e-10 / -2.9575e-10 | 0.000690236 / -0.000690236 |
 | mu_XS_hh | 12.9155 / -11.8027 | 12.9155 / -11.8027 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
