 |       | HHggF      | HHVBF      | t      | Othertop      | Single-H      | VV      | VVV      | V      | W+jets      | Z+jets |
 | gamma_stat_SR__MLP_COMBINED_bin_0 | 0.00139268 / -0.00139268 | 0.00253107 / -0.00253107 | 0.0260268 / -0.0260268 | 0.0264121 / -0.0264121 | 0.0130423 / -0.0130423 | 0.0166215 / -0.0166215 | 0.0140259 / -0.0140259 | 0.0252874 / -0.0252874 | 0.0400866 / -0.0400866 | 0.020665 / -0.020665 |
 | gamma_stat_SR__MLP_COMBINED_bin_1 | 0.00227795 / -0.00227795 | 0.00356692 / -0.00356692 | 0.0252451 / -0.0252451 | 0.0121977 / -0.0121977 | 0.0187564 / -0.0187564 | 0.0190366 / -0.0190366 | 0.0195073 / -0.0195073 | 0.025659 / -0.025659 | 0.0858747 / -0.0858747 | 0.0363231 / -0.0363231 |
 | gamma_stat_SR__MLP_COMBINED_bin_2 | 0.00310502 / -0.00310502 | 0.00440274 / -0.00440274 | 0.0241591 / -0.0241591 | 0.0332542 / -0.0332542 | 0.016814 / -0.016814 | 0.0174982 / -0.0174982 | 0.0181565 / -0.0181565 | 0.0213686 / -0.0213686 | 2.71066e-07 / -2.71066e-07 | 0.0251137 / -0.0251137 |
 | gamma_stat_SR__MLP_COMBINED_bin_3 | 0.00759256 / -0.00759256 | 0.0127044 / -0.0127044 | 0.0192593 / -0.0192593 | 0.0183755 / -0.0183755 | 0.0125439 / -0.0125439 | 0.0204255 / -0.0204255 | 0.0245631 / -0.0245631 | 0.0260367 / -0.0260367 | 2.93254e-07 / -2.93254e-07 | 0.0196395 / -0.0196395 |
 | gamma_stat_SR__MLP_COMBINED_bin_4 | 0.014076 / -0.014076 | 0.0203079 / -0.0203079 | 0.0138543 / -0.0138543 | 0.0114607 / -0.0114607 | 0.0222799 / -0.0222799 | 0.0186315 / -0.0186315 | 0.0161735 / -0.0161735 | 0.00628759 / -0.00628759 | 2.86394e-07 / -2.86394e-07 | 0.00798115 / -0.00798115 |
 | gamma_stat_SR__MLP_COMBINED_bin_5 | 0.0406835 / -0.0406835 | 0.0432604 / -0.0432604 | 0.00784391 / -0.00784391 | 0.0136405 / -0.0136405 | 0.0161083 / -0.0161083 | 0.0210605 / -0.0210605 | 0.0192091 / -0.0192091 | 0.0172781 / -0.0172781 | 4.68934e-07 / -4.68934e-07 | 0.00877643 / -0.00877643 |
 | gamma_stat_SR__MLP_COMBINED_bin_6 | 0.0840887 / -0.0840887 | 0.0591423 / -0.0591423 | 0.00275444 / -0.00275444 | 0.00492905 / -0.00492905 | 0.0283856 / -0.0283856 | 0.0117358 / -0.0117358 | 0.0124097 / -0.0124097 | 0.000192827 / -0.000192827 | 4.41179e-07 / -4.41179e-07 | 4.40806e-09 / -4.40806e-09 |
 | mu_XS_hh | 7.8748 / -5.40576 | 7.8748 / -5.40576 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
