 |       | HHggF      | HHVBF      | t      | Othertop      | Single-H      | VV      | VVV      | V      | W+jets      | Z+jets |
 | gamma_stat_SR__MLP_COMBINED_bin_0 | 0.00114429 / -0.00114429 | 0.0021718 / -0.0021718 | 0.0109588 / -0.0109588 | 0.0111773 / -0.0111773 | 0.0180609 / -0.0180609 | 0.00891386 / -0.00891386 | 0.00515345 / -0.00515345 | 0.0119268 / -0.0119268 | 1.85563e-08 / -1.85563e-08 | 0.0101995 / -0.0101995 |
 | gamma_stat_SR__MLP_COMBINED_bin_1 | 0.00258306 / -0.00258306 | 0.00473163 / -0.00473163 | 0.0185295 / -0.0185295 | 0.0169673 / -0.0169673 | 0.0119643 / -0.0119643 | 0.0144712 / -0.0144712 | 0.0131581 / -0.0131581 | 0.0230555 / -0.0230555 | 0.0212535 / -0.0212535 | 0.0185653 / -0.0185653 |
 | gamma_stat_SR__MLP_COMBINED_bin_2 | 0.00297603 / -0.00297603 | 0.00533457 / -0.00533457 | 0.014328 / -0.014328 | 0.0170934 / -0.0170934 | 0.00674599 / -0.00674599 | 0.0124593 / -0.0124593 | 0.010702 / -0.010702 | 0.0110559 / -0.0110559 | 0.0167495 / -0.0167495 | 0.0159876 / -0.0159876 |
 | gamma_stat_SR__MLP_COMBINED_bin_3 | 0.013286 / -0.013286 | 0.0221452 / -0.0221452 | 0.0325632 / -0.0325632 | 0.0262354 / -0.0262354 | 0.0256542 / -0.0256542 | 0.0316389 / -0.0316389 | 0.0352806 / -0.0352806 | 0.0378106 / -0.0378106 | 0.0284299 / -0.0284299 | 0.0331591 / -0.0331591 |
 | gamma_stat_SR__MLP_COMBINED_bin_4 | 0.0265846 / -0.0265846 | 0.0354904 / -0.0354904 | 0.0335019 / -0.0335019 | 0.035148 / -0.035148 | 0.0325795 / -0.0325795 | 0.0342718 / -0.0342718 | 0.0391299 / -0.0391299 | 0.0304481 / -0.0304481 | 0.0659873 / -0.0659873 | 0.0366726 / -0.0366726 |
 | gamma_stat_SR__MLP_COMBINED_bin_5 | 0.016219 / -0.016219 | 0.0191393 / -0.0191393 | 0.00611737 / -0.00611737 | 0.00477546 / -0.00477546 | 0.0125735 / -0.0125735 | 0.00950192 / -0.00950192 | 0.0108927 / -0.0108927 | 0.00430821 / -0.00430821 | 1.996e-08 / -1.996e-08 | 0.00375125 / -0.00375125 |
 | gamma_stat_SR__MLP_COMBINED_bin_6 | 0.0347308 / -0.0347308 | 0.0273436 / -0.0273436 | 0.00214259 / -0.00214259 | 0.00481906 / -0.00481906 | 0.00311995 / -0.00311995 | 0.00891743 / -0.00891743 | 0.0121368 / -0.0121368 | 0.000960852 / -0.000960852 | 0.00324385 / -0.00324385 | 0.00210379 / -0.00210379 |
 | gamma_stat_SR__MLP_COMBINED_bin_7 | 0.0490792 / -0.0490792 | 0.0233957 / -0.0233957 | 0.00110123 / -0.00110123 | 0.00136037 / -0.00136037 | 0.0111021 / -0.0111021 | 0.00405954 / -0.00405954 | 0.00496346 / -0.00496346 | 0.00023121 / -0.00023121 | 3.96099e-08 / -3.96099e-08 | 0.000101105 / -0.000101105 |
