 |       | HHggF      | HHVBF      | t      | Othertop      | Single-H      | VV      | VVV      | V      | W+jets      | Z+jets |
 | gamma_stat_SR__DNN_RUN3_bin_0 | 0.00235576 / -0.00235576 | 0.00491713 / -0.00491713 | 0.0186686 / -0.0186686 | 0.0143644 / -0.0143644 | 0.0220376 / -0.0220376 | 0.0149117 / -0.0149117 | 0.0106663 / -0.0106663 | 0.0242046 / -0.0242046 | 2.67914e-08 / -2.67914e-08 | 0.0219599 / -0.0219599 |
 | gamma_stat_SR__DNN_RUN3_bin_1 | 0.00317998 / -0.00317998 | 0.00564755 / -0.00564755 | 0.0162981 / -0.0162981 | 0.0130351 / -0.0130351 | 0.010333 / -0.010333 | 0.0133013 / -0.0133013 | 0.012677 / -0.012677 | 0.0131694 / -0.0131694 | 0.00949482 / -0.00949482 | 0.0163268 / -0.0163268 |
 | gamma_stat_SR__DNN_RUN3_bin_2 | 0.00662304 / -0.00662304 | 0.011286 / -0.011286 | 0.0227742 / -0.0227742 | 0.0316364 / -0.0316364 | 0.0202232 / -0.0202232 | 0.0209027 / -0.0209027 | 0.0199043 / -0.0199043 | 0.0175384 / -0.0175384 | 0.043629 / -0.043629 | 0.0264384 / -0.0264384 |
 | gamma_stat_SR__DNN_RUN3_bin_3 | 0.00878187 / -0.00878187 | 0.0109316 / -0.0109316 | 0.0132985 / -0.0132985 | 0.0079945 / -0.0079945 | 0.00764464 / -0.00764464 | 0.0126157 / -0.0126157 | 0.0147854 / -0.0147854 | 0.0147746 / -0.0147746 | 0.0314432 / -0.0314432 | 0.00997828 / -0.00997828 |
 | gamma_stat_SR__DNN_RUN3_bin_4 | 0.02077 / -0.02077 | 0.0247055 / -0.0247055 | 0.0112767 / -0.0112767 | 0.0185074 / -0.0185074 | 0.0166221 / -0.0166221 | 0.0157158 / -0.0157158 | 0.0169372 / -0.0169372 | 0.0115223 / -0.0115223 | 0.00253906 / -0.00253906 | 0.00677608 / -0.00677608 |
 | gamma_stat_SR__DNN_RUN3_bin_5 | 0.0311333 / -0.0311333 | 0.0307338 / -0.0307338 | 0.00352067 / -0.00352067 | 0.00514137 / -0.00514137 | 0.00796392 / -0.00796392 | 0.0105924 / -0.0105924 | 0.0135902 / -0.0135902 | 0.00310488 / -0.00310488 | 0.00517365 / -0.00517365 | 0.00325131 / -0.00325131 |
 | gamma_stat_SR__DNN_RUN3_bin_6 | 0.0583333 / -0.0583333 | 0.0304652 / -0.0304652 | 0.000963076 / -0.000963076 | 0.00352695 / -0.00352695 | 0.00925337 / -0.00925337 | 0.00668181 / -0.00668181 | 0.0101829 / -0.0101829 | 0.000107907 / -0.000107907 | 6.31762e-08 / -6.31762e-08 | 0.000388763 / -0.000388763 |
 | mu_XS_hh | 12.4741 / -8.69562 | 12.4741 / -8.69562 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
