 |       | HHggF      | HHVBF      | t      | Othertop      | Single-H      | VV      | VVV      | V      | W+jets      | Z+jets |
 | gamma_stat_SR__MLP_RUN3_bin_0 | 0.00124787 / -0.00124787 | 0.00310083 / -0.00310083 | 0.0118619 / -0.0118619 | 0.0128396 / -0.0128396 | 0.00534802 / -0.00534802 | 0.00982829 / -0.00982829 | 0.00859756 / -0.00859756 | 0.0210254 / -0.0210254 | 0.00984496 / -0.00984496 | 0.0164665 / -0.0164665 |
 | gamma_stat_SR__MLP_RUN3_bin_1 | 0.00187239 / -0.00187239 | 0.00436439 / -0.00436439 | 0.0108326 / -0.0108326 | 0.0110878 / -0.0110878 | 0.0103498 / -0.0103498 | 0.0109877 / -0.0109877 | 0.00987056 / -0.00987056 | 0.00629129 / -0.00629129 | 0.0146418 / -0.0146418 | 0.0115873 / -0.0115873 |
 | gamma_stat_SR__MLP_RUN3_bin_2 | 0.00294562 / -0.00294562 | 0.00570174 / -0.00570174 | 0.00955043 / -0.00955043 | 0.0108777 / -0.0108777 | 0.00997836 / -0.00997836 | 0.0109971 / -0.0109971 | 0.01076 / -0.01076 | 0.00908661 / -0.00908661 | 0.0106126 / -0.0106126 | 0.0101349 / -0.0101349 |
 | gamma_stat_SR__MLP_RUN3_bin_3 | 0.00625526 / -0.00625526 | 0.00932298 / -0.00932298 | 0.0116095 / -0.0116095 | 0.0102077 / -0.0102077 | 0.0127571 / -0.0127571 | 0.0120175 / -0.0120175 | 0.0128832 / -0.0128832 | 0.00876226 / -0.00876226 | 0.0106935 / -0.0106935 | 0.0097136 / -0.0097136 |
 | gamma_stat_SR__MLP_RUN3_bin_4 | 0.0103589 / -0.0103589 | 0.0132259 / -0.0132259 | 0.010055 / -0.010055 | 0.00765303 / -0.00765303 | 0.0113629 / -0.0113629 | 0.00917878 / -0.00917878 | 0.0103907 / -0.0103907 | 0.0046775 / -0.0046775 | 0.00610505 / -0.00610505 | 0.0062612 / -0.0062612 |
 | gamma_stat_SR__MLP_RUN3_bin_5 | 0.022557 / -0.022557 | 0.0195713 / -0.0195713 | 0.00741978 / -0.00741978 | 0.00555202 / -0.00555202 | 0.00942007 / -0.00942007 | 0.00827363 / -0.00827363 | 0.00942476 / -0.00942476 | 0.0115515 / -0.0115515 | 0.0135575 / -0.0135575 | 0.00345209 / -0.00345209 |
 | gamma_stat_SR__MLP_RUN3_bin_6 | 0.073992 / -0.073992 | 0.0439407 / -0.0439407 | 0.00519466 / -0.00519466 | 0.00834589 / -0.00834589 | 0.0162758 / -0.0162758 | 0.006462 / -0.006462 | 0.00810039 / -0.00810039 | 0.00716083 / -0.00716083 | 6.68503e-05 / -6.68503e-05 | 0.00530321 / -0.00530321 |
 | mu_XS_hh | -0.683021 / 0.563439 | -0.683021 / 0.563439 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
