 |       | HHggF      | HHVBF      | t      | Othertop      | Single-H      | VV      | VVV      | V      | W+jets      | Z+jets |
 | gamma_stat_LowMVA__GNN_RUN3_bin_0 | 0.00387874 / -0.00387874 | 0.00125664 / -0.00125664 | 0.0104141 / -0.0104141 | 0.0193738 / -0.0193738 | 0.0140734 / -0.0140734 | 0.0165862 / -0.0165862 | 0.0111216 / -0.0111216 | 0.0371335 / -0.0371335 | 0.0583084 / -0.0583084 | 0.0554181 / -0.0554181 |
 | gamma_stat_LowMVA__GNN_RUN3_bin_1 | 0.00802692 / -0.00802692 | 0.00414326 / -0.00414326 | 0.0138447 / -0.0138447 | 0.0181892 / -0.0181892 | 0.0104438 / -0.0104438 | 0.0190163 / -0.0190163 | 0.0117433 / -0.0117433 | 0.039539 / -0.039539 | 0.0521733 / -0.0521733 | 0.0264966 / -0.0264966 |
 | gamma_stat_LowMVA__GNN_RUN3_bin_2 | 0.00862737 / -0.00862737 | 0.0103239 / -0.0103239 | 0.0147963 / -0.0147963 | 0.0180094 / -0.0180094 | 0.0140145 / -0.0140145 | 0.0130789 / -0.0130789 | 0.0102545 / -0.0102545 | 0.0182748 / -0.0182748 | 0.0144015 / -0.0144015 | 0.0178683 / -0.0178683 |
 | gamma_stat_LowMVA__GNN_RUN3_bin_3 | 0.0108541 / -0.0108541 | 0.00586866 / -0.00586866 | 0.0140985 / -0.0140985 | 0.01143 / -0.01143 | 0.0123909 / -0.0123909 | 0.0111676 / -0.0111676 | 0.00888287 / -0.00888287 | 0.0130845 / -0.0130845 | 0.00925731 / -0.00925731 | 0.0102881 / -0.0102881 |
 | gamma_stat_LowMVA__GNN_RUN3_bin_4 | 0.0121892 / -0.0121892 | 0.0133163 / -0.0133163 | 0.0142324 / -0.0142324 | 0.0111608 / -0.0111608 | 0.0119351 / -0.0119351 | 0.012502 / -0.012502 | 0.0114511 / -0.0114511 | 0.0110192 / -0.0110192 | 0.00619208 / -0.00619208 | 0.00871171 / -0.00871171 |
 | gamma_stat_LowMVA__GNN_RUN3_bin_5 | 0.019339 / -0.019339 | 0.0167798 / -0.0167798 | 0.0161956 / -0.0161956 | 0.0145047 / -0.0145047 | 0.027318 / -0.027318 | 0.0152226 / -0.0152226 | 0.0187936 / -0.0187936 | 0.00611973 / -0.00611973 | 0.00791994 / -0.00791994 | 0.00790234 / -0.00790234 |
 | gamma_stat_LowMVA__GNN_RUN3_bin_6 | 0.0304313 / -0.0304313 | 0.0303781 / -0.0303781 | 0.0205887 / -0.0205887 | 0.0192524 / -0.0192524 | 0.00432187 / -0.00432187 | 0.0217854 / -0.0217854 | 0.0309572 / -0.0309572 | 0.0069708 / -0.0069708 | 0.00431319 / -0.00431319 | 0.0114452 / -0.0114452 |
 | gamma_stat_LowMVA__GNN_RUN3_bin_7 | 0.0191788 / -0.0191788 | 0.027292 / -0.027292 | 0.00980612 / -0.00980612 | 0.00964032 / -0.00964032 | 0.0161689 / -0.0161689 | 0.0118984 / -0.0118984 | 0.0158963 / -0.0158963 | 0.00411275 / -0.00411275 | 0.00299072 / -0.00299072 | 0.00494958 / -0.00494958 |
