 |       | HHggF      | HHVBF      | t      | Othertop      | Single-H      | VV      | VVV      | V      | W+jets      | Z+jets |
 | gamma_stat_SR__XGB_RUN3_bin_0 | 0.00149187 / -0.00149187 | 0.00307454 / -0.00307454 | 0.0128482 / -0.0128482 | 0.0131698 / -0.0131698 | 0.00653285 / -0.00653285 | 0.0115492 / -0.0115492 | 0.0105808 / -0.0105808 | 0.0138159 / -0.0138159 | 0.0158268 / -0.0158268 | 0.0184761 / -0.0184761 |
 | gamma_stat_SR__XGB_RUN3_bin_1 | 0.0022193 / -0.0022193 | 0.00505026 / -0.00505026 | 0.0147957 / -0.0147957 | 0.0110164 / -0.0110164 | 0.0108985 / -0.0108985 | 0.0139281 / -0.0139281 | 0.0130619 / -0.0130619 | 0.0159326 / -0.0159326 | 0.0108217 / -0.0108217 | 0.0153627 / -0.0153627 |
 | gamma_stat_SR__XGB_RUN3_bin_2 | 0.00291534 / -0.00291534 | 0.00553907 / -0.00553907 | 0.0100785 / -0.0100785 | 0.0139258 / -0.0139258 | 0.0154273 / -0.0154273 | 0.0105017 / -0.0105017 | 0.0107642 / -0.0107642 | 0.0101778 / -0.0101778 | 0.00985708 / -0.00985708 | 0.011427 / -0.011427 |
 | gamma_stat_SR__XGB_RUN3_bin_3 | 0.0065615 / -0.0065615 | 0.0095292 / -0.0095292 | 0.0122231 / -0.0122231 | 0.0121606 / -0.0121606 | 0.0111505 / -0.0111505 | 0.012869 / -0.012869 | 0.0127464 / -0.0127464 | 0.00810179 / -0.00810179 | 0.0137679 / -0.0137679 | 0.00696778 / -0.00696778 |
 | gamma_stat_SR__XGB_RUN3_bin_4 | 0.0106474 / -0.0106474 | 0.0115312 / -0.0115312 | 0.00840254 / -0.00840254 | 0.00800356 / -0.00800356 | 0.0113345 / -0.0113345 | 0.010071 / -0.010071 | 0.0104158 / -0.0104158 | 0.00560937 / -0.00560937 | 0.0158338 / -0.0158338 | 0.0078563 / -0.0078563 |
 | gamma_stat_SR__XGB_RUN3_bin_5 | 0.0169103 / -0.0169103 | 0.0168613 / -0.0168613 | 0.00666392 / -0.00666392 | 0.00564297 / -0.00564297 | 0.00804689 / -0.00804689 | 0.00681695 / -0.00681695 | 0.00846613 / -0.00846613 | 0.0127661 / -0.0127661 | 0.00274564 / -0.00274564 | 0.00478967 / -0.00478967 |
 | gamma_stat_SR__XGB_RUN3_bin_6 | 0.0370849 / -0.0370849 | 0.0307055 / -0.0307055 | 0.00538673 / -0.00538673 | 0.00441172 / -0.00441172 | 0.0060808 / -0.0060808 | 0.00502353 / -0.00502353 | 0.00527967 / -0.00527967 | 0.00221902 / -0.00221902 | 0.00107104 / -0.00107104 | 0.00120466 / -0.00120466 |
 | gamma_stat_SR__XGB_RUN3_bin_7 | 0.0305688 / -0.0305688 | 0.0162272 / -0.0162272 | 0.000576104 / -0.000576104 | 0.00161016 / -0.00161016 | 0.00452271 / -0.00452271 | 0.000924232 / -0.000924232 | 0.00139102 / -0.00139102 | 0.0006171 / -0.0006171 | 8.21174e-05 / -8.21174e-05 | 0.000102094 / -0.000102094 |
 | mu_XS_hh | -0.683021 / 0.563439 | -0.683021 / 0.563439 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
