 |       | HHggF      | HHVBF      | t      | Othertop      | Single-H      | VV      | VVV      | V      | W+jets      | Z+jets |
 | gamma_stat_LowMVA__PNN_COMBINED_bin_0 | 0.000519678 / -0.000519678 | 0.000537455 / -0.000537455 | 0.000859265 / -0.000859265 | 0.00135069 / -0.00135069 | 0.0054972 / -0.0054972 | 0.00407218 / -0.00407218 | 0.00116431 / -0.00116431 | 0.0173796 / -0.0173796 | 0.0295585 / -0.0295585 | 0.0190115 / -0.0190115 |
 | gamma_stat_LowMVA__PNN_COMBINED_bin_1 | 0.0028323 / -0.0028323 | 0.00225172 / -0.00225172 | 0.00414115 / -0.00414115 | 0.0123509 / -0.0123509 | 0.0146018 / -0.0146018 | 0.00979438 / -0.00979438 | 0.00455398 / -0.00455398 | 0.0177045 / -0.0177045 | 0.000176655 / -0.000176655 | 0.0173673 / -0.0173673 |
 | gamma_stat_LowMVA__PNN_COMBINED_bin_2 | 0.00644931 / -0.00644931 | 0.00682789 / -0.00682789 | 0.00965056 / -0.00965056 | 0.0159762 / -0.0159762 | 0.0195378 / -0.0195378 | 0.0131206 / -0.0131206 | 0.0113248 / -0.0113248 | 0.0180631 / -0.0180631 | 0.0154375 / -0.0154375 | 0.0177559 / -0.0177559 |
 | gamma_stat_LowMVA__PNN_COMBINED_bin_3 | 0.0144603 / -0.0144603 | 0.016323 / -0.016323 | 0.0183856 / -0.0183856 | 0.0148091 / -0.0148091 | 0.0207595 / -0.0207595 | 0.0197116 / -0.0197116 | 0.0118667 / -0.0118667 | 0.0167004 / -0.0167004 | 7.22316e-09 / -7.22316e-09 | 0.0146566 / -0.0146566 |
 | gamma_stat_LowMVA__PNN_COMBINED_bin_4 | 0.0153852 / -0.0153852 | 0.0149947 / -0.0149947 | 0.0175613 / -0.0175613 | 0.0109376 / -0.0109376 | 0.0123975 / -0.0123975 | 0.0148318 / -0.0148318 | 0.0211539 / -0.0211539 | 0.00734415 / -0.00734415 | 0.00999806 / -0.00999806 | 0.00823607 / -0.00823607 |
 | gamma_stat_LowMVA__PNN_COMBINED_bin_5 | 0.0188704 / -0.0188704 | 0.018338 / -0.018338 | 0.0208575 / -0.0208575 | 0.0214106 / -0.0214106 | 0.00999943 / -0.00999943 | 0.0150052 / -0.0150052 | 0.0163612 / -0.0163612 | 0.00677418 / -0.00677418 | 0.0232916 / -0.0232916 | 0.00710489 / -0.00710489 |
 | gamma_stat_LowMVA__PNN_COMBINED_bin_6 | 0.0257393 / -0.0257393 | 0.025113 / -0.025113 | 0.0206408 / -0.0206408 | 0.0124649 / -0.0124649 | 0.013108 / -0.013108 | 0.014091 / -0.014091 | 0.0183399 / -0.0183399 | 0.00504429 / -0.00504429 | 0.0108197 / -0.0108197 | 0.00495978 / -0.00495978 |
 | gamma_stat_LowMVA__PNN_COMBINED_bin_7 | 0.0202425 / -0.0202425 | 0.0203416 / -0.0203416 | 0.0121313 / -0.0121313 | 0.0105113 / -0.0105113 | 0.00269243 / -0.00269243 | 0.00961453 / -0.00961453 | 0.0169176 / -0.0169176 | 0.0025826 / -0.0025826 | 0.00311825 / -0.00311825 | 0.00183527 / -0.00183527 |
