 |       | HHggF      | HHVBF      | t      | Othertop      | Single-H      | VV      | VVV      | V      | W+jets      | Z+jets |
 | gamma_stat_LowMVA__XGB_RUN2_bin_0 | 0.00167528 / -0.00167528 | 0.00217216 / -0.00217216 | 0.0051601 / -0.0051601 | 0.0188717 / -0.0188717 | 0.00437284 / -0.00437284 | 0.0061438 / -0.0061438 | 0.00300644 / -0.00300644 | 0.0332558 / -0.0332558 | 0.0450502 / -0.0450502 | 0.0345426 / -0.0345426 |
 | gamma_stat_LowMVA__XGB_RUN2_bin_1 | 0.0033651 / -0.0033651 | 0.00631034 / -0.00631034 | 0.00899725 / -0.00899725 | 0.0115296 / -0.0115296 | 0.0031598 / -0.0031598 | 0.00617492 / -0.00617492 | 0.00421249 / -0.00421249 | 0.0182068 / -0.0182068 | 0.0211465 / -0.0211465 | 0.0182588 / -0.0182588 |
 | gamma_stat_LowMVA__XGB_RUN2_bin_2 | 0.0124987 / -0.0124987 | 0.00910608 / -0.00910608 | 0.0179731 / -0.0179731 | 0.0167211 / -0.0167211 | 0.0146067 / -0.0146067 | 0.0121505 / -0.0121505 | 0.00863907 / -0.00863907 | 0.0146682 / -0.0146682 | 0.0187495 / -0.0187495 | 0.0236859 / -0.0236859 |
 | gamma_stat_LowMVA__XGB_RUN2_bin_3 | 0.0141713 / -0.0141713 | 0.0158253 / -0.0158253 | 0.0211328 / -0.0211328 | 0.0180403 / -0.0180403 | 0.0183664 / -0.0183664 | 0.0161755 / -0.0161755 | 0.0117754 / -0.0117754 | 0.011617 / -0.011617 | 0.00901712 / -0.00901712 | 0.0129933 / -0.0129933 |
 | gamma_stat_LowMVA__XGB_RUN2_bin_4 | 0.0138316 / -0.0138316 | 0.0121284 / -0.0121284 | 0.0120799 / -0.0120799 | 0.00814296 / -0.00814296 | 0.0271277 / -0.0271277 | 0.0136776 / -0.0136776 | 0.0163449 / -0.0163449 | 0.0139514 / -0.0139514 | 0.0059268 / -0.0059268 | 0.00901533 / -0.00901533 |
 | gamma_stat_LowMVA__XGB_RUN2_bin_5 | 0.0147758 / -0.0147758 | 0.0136336 / -0.0136336 | 0.0132694 / -0.0132694 | 0.0112375 / -0.0112375 | 0.00856645 / -0.00856645 | 0.0141925 / -0.0141925 | 0.0162247 / -0.0162247 | 0.00650165 / -0.00650165 | 0.0049575 / -0.0049575 | 0.00497982 / -0.00497982 |
 | gamma_stat_LowMVA__XGB_RUN2_bin_6 | 0.0214607 / -0.0214607 | 0.0203667 / -0.0203667 | 0.012442 / -0.012442 | 0.0134692 / -0.0134692 | 0.0144156 / -0.0144156 | 0.0169034 / -0.0169034 | 0.0200731 / -0.0200731 | 0.00721408 / -0.00721408 | 0.00537433 / -0.00537433 | 0.00460183 / -0.00460183 |
 | gamma_stat_LowMVA__XGB_RUN2_bin_7 | 0.0176015 / -0.0176015 | 0.01905 / -0.01905 | 0.00995783 / -0.00995783 | 0.00799448 / -0.00799448 | 0.00968746 / -0.00968746 | 0.0148394 / -0.0148394 | 0.0177959 / -0.0177959 | 0.00335174 / -0.00335174 | 0.00370376 / -0.00370376 | 0.00345907 / -0.00345907 |
