 |       | HHggF      | HHVBF      | t      | Othertop      | Single-H      | VV      | VVV      | V      | W+jets      | Z+jets |
 | gamma_stat_SR__MLP_RUN2_bin_0 | 0.00132455 / -0.00132455 | 0.00232218 / -0.00232218 | 0.010733 / -0.010733 | 0.00677754 / -0.00677754 | 0.00255176 / -0.00255176 | 0.0108666 / -0.0108666 | 0.00886355 / -0.00886355 | 0.00910062 / -0.00910062 | 0.0143449 / -0.0143449 | 0.0136975 / -0.0136975 |
 | gamma_stat_SR__MLP_RUN2_bin_1 | 0.00227637 / -0.00227637 | 0.00505616 / -0.00505616 | 0.0115575 / -0.0115575 | 0.0133109 / -0.0133109 | 0.00586226 / -0.00586226 | 0.0124767 / -0.0124767 | 0.0112006 / -0.0112006 | 0.0134455 / -0.0134455 | 0.0108554 / -0.0108554 | 0.0173143 / -0.0173143 |
 | gamma_stat_SR__MLP_RUN2_bin_2 | 0.00399386 / -0.00399386 | 0.00609511 / -0.00609511 | 0.0136954 / -0.0136954 | 0.0161987 / -0.0161987 | 0.0173855 / -0.0173855 | 0.0133773 / -0.0133773 | 0.013701 / -0.013701 | 0.00976153 / -0.00976153 | 0.0284126 / -0.0284126 | 0.013078 / -0.013078 |
 | gamma_stat_SR__MLP_RUN2_bin_3 | 0.0063612 / -0.0063612 | 0.00905439 / -0.00905439 | 0.0120643 / -0.0120643 | 0.0151148 / -0.0151148 | 0.0136106 / -0.0136106 | 0.011914 / -0.011914 | 0.013332 / -0.013332 | 0.0139296 / -0.0139296 | 0.00805609 / -0.00805609 | 0.00931523 / -0.00931523 |
 | gamma_stat_SR__MLP_RUN2_bin_4 | 0.00699559 / -0.00699559 | 0.0084367 / -0.0084367 | 0.00789157 / -0.00789157 | 0.00811451 / -0.00811451 | 0.00959561 / -0.00959561 | 0.00676892 / -0.00676892 | 0.00803793 / -0.00803793 | 0.00914198 / -0.00914198 | 0.00384153 / -0.00384153 | 0.00571866 / -0.00571866 |
 | gamma_stat_SR__MLP_RUN2_bin_5 | 0.01606 / -0.01606 | 0.0175486 / -0.0175486 | 0.0070136 / -0.0070136 | 0.00693521 / -0.00693521 | 0.00631417 / -0.00631417 | 0.0068456 / -0.0068456 | 0.00770252 / -0.00770252 | 0.00602325 / -0.00602325 | 0.00507982 / -0.00507982 | 0.0020952 / -0.0020952 |
 | gamma_stat_SR__MLP_RUN2_bin_6 | 0.025043 / -0.025043 | 0.0186588 / -0.0186588 | 0.00355197 / -0.00355197 | 0.00228029 / -0.00228029 | 0.0133501 / -0.0133501 | 0.00473136 / -0.00473136 | 0.00536119 / -0.00536119 | 0.0035658 / -0.0035658 | 0.00156149 / -0.00156149 | 0.00313854 / -0.00313854 |
 | gamma_stat_SR__MLP_RUN2_bin_7 | 0.0411179 / -0.0411179 | 0.0230195 / -0.0230195 | 0.00297874 / -0.00297874 | 0.00225757 / -0.00225757 | 0.0190386 / -0.0190386 | 0.00279399 / -0.00279399 | 0.00280828 / -0.00280828 | 0.00223951 / -0.00223951 | 0.00108795 / -0.00108795 | 0.00094624 / -0.00094624 |
 | mu_XS_hh | -0.360053 / 0.310217 | -0.360053 / 0.310217 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
