 |       | HHggF      | HHVBF      | t      | Othertop      | Single-H      | VV      | VVV      | V      | W+jets      | Z+jets |
 | gamma_stat_SR__XGB_RUN3_bin_0 | 0.00211565 / -0.00211565 | 0.00430536 / -0.00430536 | 0.0181284 / -0.0181284 | 0.0185362 / -0.0185362 | 0.00910961 / -0.00910961 | 0.0162144 / -0.0162144 | 0.0148214 / -0.0148214 | 0.0196254 / -0.0196254 | 0.0220049 / -0.0220049 | 0.0262754 / -0.0262754 |
 | gamma_stat_SR__XGB_RUN3_bin_1 | 0.00302503 / -0.00302503 | 0.00679742 / -0.00679742 | 0.0200657 / -0.0200657 | 0.0149034 / -0.0149034 | 0.0146072 / -0.0146072 | 0.018795 / -0.018795 | 0.0175864 / -0.0175864 | 0.0217535 / -0.0217535 | 0.0144619 / -0.0144619 | 0.0209995 / -0.0209995 |
 | gamma_stat_SR__XGB_RUN3_bin_2 | 0.00359969 / -0.00359969 | 0.00675353 / -0.00675353 | 0.0123817 / -0.0123817 | 0.0170659 / -0.0170659 | 0.0187306 / -0.0187306 | 0.0128373 / -0.0128373 | 0.0131285 / -0.0131285 | 0.012588 / -0.012588 | 0.0119327 / -0.0119327 | 0.0141494 / -0.0141494 |
 | gamma_stat_SR__XGB_RUN3_bin_3 | 0.00969855 / -0.00969855 | 0.0139084 / -0.0139084 | 0.0179759 / -0.0179759 | 0.0178398 / -0.0178398 | 0.0162063 / -0.0162063 | 0.0188315 / -0.0188315 | 0.0186101 / -0.0186101 | 0.0119954 / -0.0119954 | 0.0199519 / -0.0199519 | 0.0103282 / -0.0103282 |
 | gamma_stat_SR__XGB_RUN3_bin_4 | 0.0189944 / -0.0189944 | 0.020313 / -0.020313 | 0.0149141 / -0.0149141 | 0.0141709 / -0.0141709 | 0.0198825 / -0.0198825 | 0.0177866 / -0.0177866 | 0.018354 / -0.018354 | 0.0100236 / -0.0100236 | 0.0276937 / -0.0276937 | 0.0140549 / -0.0140549 |
 | gamma_stat_SR__XGB_RUN3_bin_5 | 0.0202691 / -0.0202691 | 0.0199568 / -0.0199568 | 0.00794729 / -0.00794729 | 0.00671308 / -0.00671308 | 0.0094841 / -0.0094841 | 0.00808929 / -0.00808929 | 0.0100236 / -0.0100236 | 0.0153274 / -0.0153274 | 0.00322657 / -0.00322657 | 0.00575727 / -0.00575727 |
 | gamma_stat_SR__XGB_RUN3_bin_6 | 0.0433219 / -0.0433219 | 0.0354197 / -0.0354197 | 0.00626098 / -0.00626098 | 0.00511506 / -0.00511506 | 0.00698485 / -0.00698485 | 0.00580975 / -0.00580975 | 0.00609221 / -0.00609221 | 0.00259657 / -0.00259657 | 0.00122668 / -0.00122668 | 0.00141125 / -0.00141125 |
 | gamma_stat_SR__XGB_RUN3_bin_7 | 0.0286547 / -0.0286547 | 0.0150203 / -0.0150203 | 0.000537311 / -0.000537311 | 0.00149803 / -0.00149803 | 0.00416872 / -0.00416872 | 0.000857703 / -0.000857703 | 0.00128798 / -0.00128798 | 0.000579433 / -0.000579433 | 7.5469e-05 / -7.5469e-05 | 9.5972e-05 / -9.5972e-05 |
