 |       | HHggF      | HHVBF      | t      | Othertop      | Single-H      | VV      | VVV      | V      | W+jets      | Z+jets |
 | gamma_stat_SR__PNN_RUN3_bin_0 | 0.00198928 / -0.00198928 | 0.00380192 / -0.00380192 | 0.0139387 / -0.0139387 | 0.00322716 / -0.00322716 | 0.0188704 / -0.0188704 | 0.0111771 / -0.0111771 | 0.00689457 / -0.00689457 | 0.0229444 / -0.0229444 | 1.94028e-08 / -1.94028e-08 | 0.0233019 / -0.0233019 |
 | gamma_stat_SR__PNN_RUN3_bin_1 | 0.00313187 / -0.00313187 | 0.00816567 / -0.00816567 | 0.0208545 / -0.0208545 | 0.0151111 / -0.0151111 | 0.0194359 / -0.0194359 | 0.0153704 / -0.0153704 | 0.0100462 / -0.0100462 | 0.0253708 / -0.0253708 | 0.0021639 / -0.0021639 | 0.0210829 / -0.0210829 |
 | gamma_stat_SR__PNN_RUN3_bin_2 | 0.00433485 / -0.00433485 | 0.00772072 / -0.00772072 | 0.0190214 / -0.0190214 | 0.0248316 / -0.0248316 | 0.0113316 / -0.0113316 | 0.0154909 / -0.0154909 | 0.0123761 / -0.0123761 | 0.0192078 / -0.0192078 | 0.019355 / -0.019355 | 0.0314343 / -0.0314343 |
 | gamma_stat_SR__PNN_RUN3_bin_3 | 0.00631284 / -0.00631284 | 0.0115418 / -0.0115418 | 0.0160632 / -0.0160632 | 0.0153654 / -0.0153654 | 0.0135401 / -0.0135401 | 0.0152095 / -0.0152095 | 0.0143419 / -0.0143419 | 0.0149352 / -0.0149352 | 0.00713102 / -0.00713102 | 0.011031 / -0.011031 |
 | gamma_stat_SR__PNN_RUN3_bin_4 | 0.013279 / -0.013279 | 0.0180168 / -0.0180168 | 0.0181141 / -0.0181141 | 0.012634 / -0.012634 | 0.0126598 / -0.0126598 | 0.0185194 / -0.0185194 | 0.020367 / -0.020367 | 0.00893492 / -0.00893492 | 0.0844187 / -0.0844187 | 0.0108518 / -0.0108518 |
 | gamma_stat_SR__PNN_RUN3_bin_5 | 0.0205702 / -0.0205702 | 0.0229872 / -0.0229872 | 0.00838293 / -0.00838293 | 0.0222277 / -0.0222277 | 0.0108069 / -0.0108069 | 0.0151193 / -0.0151193 | 0.0196781 / -0.0196781 | 0.00821189 / -0.00821189 | 2.06213e-08 / -2.06213e-08 | 0.00660578 / -0.00660578 |
 | gamma_stat_SR__PNN_RUN3_bin_6 | 0.027837 / -0.027837 | 0.0206703 / -0.0206703 | 0.0042656 / -0.0042656 | 0.00706102 / -0.00706102 | 0.00716631 / -0.00716631 | 0.0102248 / -0.0102248 | 0.0145372 / -0.0145372 | 0.000850776 / -0.000850776 | 2.22215e-08 / -2.22215e-08 | 0.0011561 / -0.0011561 |
 | gamma_stat_SR__PNN_RUN3_bin_7 | 0.0498764 / -0.0498764 | 0.0214099 / -0.0214099 | 0.00166192 / -0.00166192 | 0.0060425 / -0.0060425 | 0.0140104 / -0.0140104 | 0.00395967 / -0.00395967 | 0.01116 / -0.01116 | 0.0011766 / -0.0011766 | 0.00314554 / -0.00314554 | 0.00052177 / -0.00052177 |
 | mu_XS_hh | -0.489376 / 0.399161 | -0.489376 / 0.399161 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
