 |       | HHggF      | HHVBF      | t      | Othertop      | Single-H      | VV      | VVV      | V      | W+jets      | Z+jets |
 | gamma_stat_SR__MLP_RUN3_bin_0 | 0.00238366 / -0.00238366 | 0.00398805 / -0.00398805 | 0.02089 / -0.02089 | 0.0244939 / -0.0244939 | 0.0203274 / -0.0203274 | 0.0172392 / -0.0172392 | 0.0117309 / -0.0117309 | 0.0283441 / -0.0283441 | 0.00471597 / -0.00471597 | 0.0318231 / -0.0318231 |
 | gamma_stat_SR__MLP_RUN3_bin_1 | 0.00284062 / -0.00284062 | 0.00463705 / -0.00463705 | 0.0160774 / -0.0160774 | 0.0209146 / -0.0209146 | 0.0169854 / -0.0169854 | 0.0138544 / -0.0138544 | 0.0120412 / -0.0120412 | 0.0176765 / -0.0176765 | 0.00355111 / -0.00355111 | 0.0149456 / -0.0149456 |
 | gamma_stat_SR__MLP_RUN3_bin_2 | 0.00432786 / -0.00432786 | 0.00879336 / -0.00879336 | 0.0183891 / -0.0183891 | 0.0103051 / -0.0103051 | 0.0110377 / -0.0110377 | 0.0156686 / -0.0156686 | 0.0141971 / -0.0141971 | 0.016816 / -0.016816 | 0.0107067 / -0.0107067 | 0.0143662 / -0.0143662 |
 | gamma_stat_SR__MLP_RUN3_bin_3 | 0.0132501 / -0.0132501 | 0.0227018 / -0.0227018 | 0.0230586 / -0.0230586 | 0.0194153 / -0.0194153 | 0.00935679 / -0.00935679 | 0.0232676 / -0.0232676 | 0.0265629 / -0.0265629 | 0.0223013 / -0.0223013 | 0.0836994 / -0.0836994 | 0.0259426 / -0.0259426 |
 | gamma_stat_SR__MLP_RUN3_bin_4 | 0.0185621 / -0.0185621 | 0.021534 / -0.021534 | 0.0113248 / -0.0113248 | 0.0134142 / -0.0134142 | 0.0194531 / -0.0194531 | 0.0128468 / -0.0128468 | 0.0167863 / -0.0167863 | 0.00326661 / -0.00326661 | 0.00250875 / -0.00250875 | 0.00697223 / -0.00697223 |
 | gamma_stat_SR__MLP_RUN3_bin_5 | 0.0358296 / -0.0358296 | 0.0302146 / -0.0302146 | 0.00474449 / -0.00474449 | 0.00565631 / -0.00565631 | 0.0105961 / -0.0105961 | 0.0120774 / -0.0120774 | 0.0150741 / -0.0150741 | 0.00580165 / -0.00580165 | 0.00672604 / -0.00672604 | 0.00406099 / -0.00406099 |
 | gamma_stat_SR__MLP_RUN3_bin_6 | 0.062462 / -0.062462 | 0.0335151 / -0.0335151 | 0.000974446 / -0.000974446 | 0.00255564 / -0.00255564 | 0.0164478 / -0.0164478 | 0.00750029 / -0.00750029 | 0.00944923 / -0.00944923 | 0.00205938 / -0.00205938 | 8.43178e-08 / -8.43178e-08 | 0.000516354 / -0.000516354 |
 | mu_XS_hh | -0.489376 / 0.399161 | -0.489376 / 0.399161 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
