 |       | HHggF      | HHVBF      | t      | Othertop      | Single-H      | VV      | VVV      | V      | W+jets      | Z+jets |
 | gamma_stat_LowMVA__DNN_RUN2_bin_0 | 0.000531061 / -0.000531061 | 0.00173794 / -0.00173794 | 0.00182085 / -0.00182085 | 0.000535206 / -0.000535206 | 0.0185853 / -0.0185853 | 0.0052341 / -0.0052341 | 0.00359644 / -0.00359644 | 0.019751 / -0.019751 | 0.000276578 / -0.000276578 | 0.0308165 / -0.0308165 |
 | gamma_stat_LowMVA__DNN_RUN2_bin_1 | 0.00290916 / -0.00290916 | 0.00342602 / -0.00342602 | 0.00768863 / -0.00768863 | 0.000561783 / -0.000561783 | 0.0101819 / -0.0101819 | 0.0113108 / -0.0113108 | 0.0114755 / -0.0114755 | 0.027037 / -0.027037 | 0.0010967 / -0.0010967 | 0.0255074 / -0.0255074 |
 | gamma_stat_LowMVA__DNN_RUN2_bin_2 | 0.00669318 / -0.00669318 | 0.00599588 / -0.00599588 | 0.0106718 / -0.0106718 | 0.0168726 / -0.0168726 | 0.0131245 / -0.0131245 | 0.0138118 / -0.0138118 | 0.00443744 / -0.00443744 | 0.0245147 / -0.0245147 | 0.0453212 / -0.0453212 | 0.01551 / -0.01551 |
 | gamma_stat_LowMVA__DNN_RUN2_bin_3 | 0.0141251 / -0.0141251 | 0.0128915 / -0.0128915 | 0.0177109 / -0.0177109 | 0.032828 / -0.032828 | 0.00257105 / -0.00257105 | 0.0199618 / -0.0199618 | 0.00952609 / -0.00952609 | 0.0148851 / -0.0148851 | 0.00666731 / -0.00666731 | 0.0184207 / -0.0184207 |
 | gamma_stat_LowMVA__DNN_RUN2_bin_4 | 0.0350877 / -0.0350877 | 0.0367504 / -0.0367504 | 0.0389092 / -0.0389092 | 0.0239194 / -0.0239194 | 0.00578932 / -0.00578932 | 0.0365632 / -0.0365632 | 0.0267262 / -0.0267262 | 0.0219866 / -0.0219866 | 0.00454064 / -0.00454064 | 0.0254625 / -0.0254625 |
 | gamma_stat_LowMVA__DNN_RUN2_bin_5 | 0.0259077 / -0.0259077 | 0.0247701 / -0.0247701 | 0.0200482 / -0.0200482 | 0.00975038 / -0.00975038 | 0.00361224 / -0.00361224 | 0.0191109 / -0.0191109 | 0.0348413 / -0.0348413 | 0.00847244 / -0.00847244 | 0.0190317 / -0.0190317 | 0.00927733 / -0.00927733 |
 | gamma_stat_LowMVA__DNN_RUN2_bin_6 | 0.0356742 / -0.0356742 | 0.0349093 / -0.0349093 | 0.0223991 / -0.0223991 | 0.0182875 / -0.0182875 | 0.0481516 / -0.0481516 | 0.0210057 / -0.0210057 | 0.0225578 / -0.0225578 | 0.00686063 / -0.00686063 | 0.0319299 / -0.0319299 | 0.00514027 / -0.00514027 |
 | gamma_stat_LowMVA__DNN_RUN2_bin_7 | 0.0271343 / -0.0271343 | 0.0281464 / -0.0281464 | 0.0242252 / -0.0242252 | 0.0317575 / -0.0317575 | 0.0343369 / -0.0343369 | 0.0141197 / -0.0141197 | 0.0292222 / -0.0292222 | 0.00305034 / -0.00305034 | 0.0130294 / -0.0130294 | 0.0022912 / -0.0022912 |
