 |       | HHggF      | HHVBF      | t      | Othertop      | Single-H      | VV      | VVV      | V      | W+jets      | Z+jets |
 | gamma_stat_SR__PNN_RUN2_bin_0 | 0.00445058 / -0.00445058 | 0.0101502 / -0.0101502 | 0.0304065 / -0.0304065 | 0.0214983 / -0.0214983 | 0.0145854 / -0.0145854 | 0.0231927 / -0.0231927 | 0.0176536 / -0.0176536 | 0.0455363 / -0.0455363 | 0.00991236 / -0.00991236 | 0.0329276 / -0.0329276 |
 | gamma_stat_SR__PNN_RUN2_bin_1 | 0.00345694 / -0.00345694 | 0.00676017 / -0.00676017 | 0.0192673 / -0.0192673 | 0.0147639 / -0.0147639 | 0.0117803 / -0.0117803 | 0.0133237 / -0.0133237 | 0.00862017 / -0.00862017 | 0.021223 / -0.021223 | 0.0457345 / -0.0457345 | 0.0196315 / -0.0196315 |
 | gamma_stat_SR__PNN_RUN2_bin_2 | 0.00911821 / -0.00911821 | 0.0165395 / -0.0165395 | 0.0174517 / -0.0174517 | 0.0285329 / -0.0285329 | 0.0378045 / -0.0378045 | 0.0219436 / -0.0219436 | 0.0214321 / -0.0214321 | 0.0157399 / -0.0157399 | 0.00496588 / -0.00496588 | 0.033995 / -0.033995 |
 | gamma_stat_SR__PNN_RUN2_bin_3 | 0.00856267 / -0.00856267 | 0.0126177 / -0.0126177 | 0.0151199 / -0.0151199 | 0.018387 / -0.018387 | 0.0149686 / -0.0149686 | 0.013265 / -0.013265 | 0.0135644 / -0.0135644 | 0.00948913 / -0.00948913 | 0.0255828 / -0.0255828 | 0.00827545 / -0.00827545 |
 | gamma_stat_SR__PNN_RUN2_bin_4 | 0.019178 / -0.019178 | 0.0208921 / -0.0208921 | 0.0129088 / -0.0129088 | 0.00975495 / -0.00975495 | 0.00983085 / -0.00983085 | 0.0174266 / -0.0174266 | 0.0221554 / -0.0221554 | 0.00820821 / -0.00820821 | 0.000683526 / -0.000683526 | 0.00913738 / -0.00913738 |
 | gamma_stat_SR__PNN_RUN2_bin_5 | 0.0279512 / -0.0279512 | 0.0240736 / -0.0240736 | 0.00602111 / -0.00602111 | 0.00324129 / -0.00324129 | 0.0193107 / -0.0193107 | 0.0149558 / -0.0149558 | 0.0170191 / -0.0170191 | 0.00163187 / -0.00163187 | 0.000105205 / -0.000105205 | 0.00497507 / -0.00497507 |
 | gamma_stat_SR__PNN_RUN2_bin_6 | 0.0546717 / -0.0546717 | 0.0287995 / -0.0287995 | 0.00287402 / -0.00287402 | 0.0139057 / -0.0139057 | 0.00776307 / -0.00776307 | 0.00708873 / -0.00708873 | 0.0152397 / -0.0152397 | 0.000363746 / -0.000363746 | 5.42255e-08 / -5.42255e-08 | 0.00146387 / -0.00146387 |
 | mu_XS_hh | 0.86281 / -0.753462 | 0.86281 / -0.753462 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
