 |       | HHggF      | HHVBF      | t      | Othertop      | Single-H      | VV      | VVV      | V      | W+jets      | Z+jets |
 | gamma_stat_SR__MLP_RUN3_bin_0 | 0.0011538 / -0.0011538 | 0.00285713 / -0.00285713 | 0.011097 / -0.011097 | 0.0120741 / -0.0120741 | 0.00498614 / -0.00498614 | 0.00916242 / -0.00916242 | 0.00798886 / -0.00798886 | 0.0194744 / -0.0194744 | 0.00907274 / -0.00907274 | 0.0155614 / -0.0155614 |
 | gamma_stat_SR__MLP_RUN3_bin_1 | 0.00170819 / -0.00170819 | 0.00396782 / -0.00396782 | 0.00999908 / -0.00999908 | 0.0102879 / -0.0102879 | 0.009521 / -0.009521 | 0.0101068 / -0.0101068 | 0.00904958 / -0.00904958 | 0.00574958 / -0.00574958 | 0.0133136 / -0.0133136 | 0.0108045 / -0.0108045 |
 | gamma_stat_SR__MLP_RUN3_bin_2 | 0.00277044 / -0.00277044 | 0.00534403 / -0.00534403 | 0.00908833 / -0.00908833 | 0.0104053 / -0.0104053 | 0.00946327 / -0.00946327 | 0.0104285 / -0.0104285 | 0.0101702 / -0.0101702 | 0.00856115 / -0.00856115 | 0.00994847 / -0.00994847 | 0.00974265 / -0.00974265 |
 | gamma_stat_SR__MLP_RUN3_bin_3 | 0.00608612 / -0.00608612 | 0.00903941 / -0.00903941 | 0.0114287 / -0.0114287 | 0.010101 / -0.010101 | 0.0125158 / -0.0125158 | 0.0117891 / -0.0117891 | 0.012597 / -0.012597 | 0.00854023 / -0.00854023 | 0.01037 / -0.01037 | 0.00965962 / -0.00965962 |
 | gamma_stat_SR__MLP_RUN3_bin_4 | 0.00946777 / -0.00946777 | 0.0120461 / -0.0120461 | 0.0092983 / -0.0092983 | 0.00711394 / -0.00711394 | 0.0104721 / -0.0104721 | 0.00845842 / -0.00845842 | 0.00954387 / -0.00954387 | 0.00428258 / -0.00428258 | 0.00556141 / -0.00556141 | 0.00584891 / -0.00584891 |
 | gamma_stat_SR__MLP_RUN3_bin_5 | 0.0248959 / -0.0248959 | 0.0215257 / -0.0215257 | 0.00828567 / -0.00828567 | 0.0062322 / -0.0062322 | 0.0104836 / -0.0104836 | 0.00920692 / -0.00920692 | 0.0104536 / -0.0104536 | 0.0127716 / -0.0127716 | 0.0149138 / -0.0149138 | 0.00389415 / -0.00389415 |
 | gamma_stat_SR__MLP_RUN3_bin_6 | 0.0844285 / -0.0844285 | 0.0499644 / -0.0499644 | 0.00599723 / -0.00599723 | 0.00968547 / -0.00968547 | 0.0187265 / -0.0187265 | 0.00743434 / -0.00743434 | 0.00928877 / -0.00928877 | 0.00818513 / -0.00818513 | 7.60275e-05 / -7.60275e-05 | 0.00618482 / -0.00618482 |
 | mu_XS_hh | 17.9939 / -14.0013 | 17.9939 / -14.0013 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
