 |       | HHggF      | HHVBF      | t      | Othertop      | Single-H      | VV      | VVV      | V      | W+jets      | Z+jets |
 | gamma_stat_LowMVA__PNN_COMBINED_bin_0 | 0.00148994 / -0.00148994 | 0.0016038 / -0.0016038 | 0.00477126 / -0.00477126 | 0.00866988 / -0.00866988 | 0.00409539 / -0.00409539 | 0.00691587 / -0.00691587 | 0.00441952 / -0.00441952 | 0.0172634 / -0.0172634 | 0.0217499 / -0.0217499 | 0.020712 / -0.020712 |
 | gamma_stat_LowMVA__PNN_COMBINED_bin_1 | 0.00724276 / -0.00724276 | 0.00471061 / -0.00471061 | 0.0149337 / -0.0149337 | 0.0244576 / -0.0244576 | 0.0184583 / -0.0184583 | 0.0140429 / -0.0140429 | 0.00859804 / -0.00859804 | 0.0283128 / -0.0283128 | 0.0489109 / -0.0489109 | 0.0301957 / -0.0301957 |
 | gamma_stat_LowMVA__PNN_COMBINED_bin_2 | 0.00857984 / -0.00857984 | 0.00927468 / -0.00927468 | 0.0134794 / -0.0134794 | 0.0107383 / -0.0107383 | 0.00779569 / -0.00779569 | 0.00861203 / -0.00861203 | 0.00641135 / -0.00641135 | 0.0134754 / -0.0134754 | 0.0135102 / -0.0135102 | 0.0140682 / -0.0140682 |
 | gamma_stat_LowMVA__PNN_COMBINED_bin_3 | 0.00856085 / -0.00856085 | 0.00615133 / -0.00615133 | 0.011306 / -0.011306 | 0.0085658 / -0.0085658 | 0.0154015 / -0.0154015 | 0.00768396 / -0.00768396 | 0.00685536 / -0.00685536 | 0.00926858 / -0.00926858 | 0.00599517 / -0.00599517 | 0.00881242 / -0.00881242 |
 | gamma_stat_LowMVA__PNN_COMBINED_bin_4 | 0.0125067 / -0.0125067 | 0.0146246 / -0.0146246 | 0.0122891 / -0.0122891 | 0.0114894 / -0.0114894 | 0.00895502 / -0.00895502 | 0.0122507 / -0.0122507 | 0.0131195 / -0.0131195 | 0.00880616 / -0.00880616 | 0.00734429 / -0.00734429 | 0.00692731 / -0.00692731 |
 | gamma_stat_LowMVA__PNN_COMBINED_bin_5 | 0.0142576 / -0.0142576 | 0.0144862 / -0.0144862 | 0.0121464 / -0.0121464 | 0.0117568 / -0.0117568 | 0.0130696 / -0.0130696 | 0.0131617 / -0.0131617 | 0.0135401 / -0.0135401 | 0.00604694 / -0.00604694 | 0.00523965 / -0.00523965 | 0.00641706 / -0.00641706 |
 | gamma_stat_LowMVA__PNN_COMBINED_bin_6 | 0.014694 / -0.014694 | 0.0155111 / -0.0155111 | 0.0108916 / -0.0108916 | 0.00975155 / -0.00975155 | 0.0166455 / -0.0166455 | 0.0131936 / -0.0131936 | 0.0173735 / -0.0173735 | 0.00735842 / -0.00735842 | 0.00325501 / -0.00325501 | 0.00558538 / -0.00558538 |
 | gamma_stat_LowMVA__PNN_COMBINED_bin_7 | 0.0137253 / -0.0137253 | 0.0140099 / -0.0140099 | 0.0065442 / -0.0065442 | 0.00674978 / -0.00674978 | 0.00293677 / -0.00293677 | 0.0099993 / -0.0099993 | 0.0121275 / -0.0121275 | 0.00419786 / -0.00419786 | 0.00159573 / -0.00159573 | 0.00341831 / -0.00341831 |
