 |       | HHggF      | HHVBF      | t      | Othertop      | Single-H      | VV      | VVV      | V      | W+jets      | Z+jets |
 | gamma_stat_SR__DNN_COMBINED_bin_0 | 0.00121703 / -0.00121703 | 0.00159803 / -0.00159803 | 0.0193691 / -0.0193691 | 0.0203319 / -0.0203319 | 0.015247 / -0.015247 | 0.0141916 / -0.0141916 | 0.0184648 / -0.0184648 | 0.0254244 / -0.0254244 | 0.00303092 / -0.00303092 | 0.0259679 / -0.0259679 |
 | gamma_stat_SR__DNN_COMBINED_bin_1 | 0.00190091 / -0.00190091 | 0.0034324 / -0.0034324 | 0.029046 / -0.029046 | 0.0173749 / -0.0173749 | 0.0200999 / -0.0200999 | 0.0166765 / -0.0166765 | 0.0181918 / -0.0181918 | 0.0312949 / -0.0312949 | 0.103258 / -0.103258 | 0.0280227 / -0.0280227 |
 | gamma_stat_SR__DNN_COMBINED_bin_2 | 0.00352919 / -0.00352919 | 0.0065061 / -0.0065061 | 0.0226296 / -0.0226296 | 0.0282649 / -0.0282649 | 0.0159379 / -0.0159379 | 0.0192402 / -0.0192402 | 0.0220751 / -0.0220751 | 0.0107947 / -0.0107947 | 2.67925e-07 / -2.67925e-07 | 0.0255789 / -0.0255789 |
 | gamma_stat_SR__DNN_COMBINED_bin_3 | 0.00807166 / -0.00807166 | 0.0137103 / -0.0137103 | 0.0190477 / -0.0190477 | 0.0231564 / -0.0231564 | 0.0105345 / -0.0105345 | 0.0220473 / -0.0220473 | 0.0197675 / -0.0197675 | 0.0245029 / -0.0245029 | 2.83775e-07 / -2.83775e-07 | 0.0176396 / -0.0176396 |
 | gamma_stat_SR__DNN_COMBINED_bin_4 | 0.0163543 / -0.0163543 | 0.0243799 / -0.0243799 | 0.0141041 / -0.0141041 | 0.0110366 / -0.0110366 | 0.017474 / -0.017474 | 0.0192684 / -0.0192684 | 0.0145228 / -0.0145228 | 0.0153985 / -0.0153985 | 2.9818e-07 / -2.9818e-07 | 0.00589146 / -0.00589146 |
 | gamma_stat_SR__DNN_COMBINED_bin_5 | 0.0384514 / -0.0384514 | 0.040734 / -0.040734 | 0.00541697 / -0.00541697 | 0.00945186 / -0.00945186 | 0.0288326 / -0.0288326 | 0.0167671 / -0.0167671 | 0.0160407 / -0.0160407 | 0.00499668 / -0.00499668 | 4.59526e-07 / -4.59526e-07 | 0.0101348 / -0.0101348 |
 | gamma_stat_SR__DNN_COMBINED_bin_6 | 0.0784909 / -0.0784909 | 0.0502343 / -0.0502343 | 0.00257374 / -0.00257374 | 0.00470964 / -0.00470964 | 0.018141 / -0.018141 | 0.0113006 / -0.0113006 | 0.00958843 / -0.00958843 | 0.00013556 / -0.00013556 | 4.05755e-07 / -4.05755e-07 | 7.1435e-05 / -7.1435e-05 |
 | mu_XS_hh | 7.88344 / -5.42849 | 7.88344 / -5.42849 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
