channel,model,track,val_auc,test_auc
1l2tau,gnn,Run 2,0.9094439060702398,0.9094439060702398
1l2tau,gnn,Run 3,0.923046900222602,0.923046900222602
1l2tau,gnn,Combined,0.9231848393725504,0.9231848393725504
