channel,model,track,val_auc,test_auc
1l2tau,dnn,Run 2,0.9268266275716728,0.9310522309069784
1l2tau,dnn,Run 3,0.9286602075734914,0.9358293137653958
1l2tau,dnn,Combined,0.9283899068460598,0.9352624398096816
