channel,model,track,val_auc,test_auc
1l2tau,xgboost,Run 2,0.9331409198048589,0.9331409198048589
1l2tau,xgboost,Run 3,0.9384651955120777,0.9384651955120777
1l2tau,xgboost,Combined,0.9387440806764182,0.9387440806764182
