channel,model,track,val_auc,test_auc
1l2tau,mlp,Run 2,0.9251641055837844,0.9287799424727683
1l2tau,mlp,Run 3,0.9270750277884539,0.9335978428342329
1l2tau,mlp,Combined,0.9300031768640296,0.93643581582368
