 |       | HHggF      | HHVBF      | t      | Othertop      | Single-H      | VV      | VVV      | V      | W+jets      | Z+jets |
 | gamma_stat_SR__GNN_RUN2_bin_0 | 0.00253813 / -0.00253813 | 0.00295007 / -0.00295007 | 0.0129865 / -0.0129865 | 0.00236302 / -0.00236302 | 0.00100659 / -0.00100659 | 0.0172594 / -0.0172594 | 0.00345403 / -0.00345403 | 0.0483183 / -0.0483183 | 1.1461e-07 / -1.1461e-07 | 0.0442954 / -0.0442954 |
 | gamma_stat_SR__GNN_RUN2_bin_1 | 0.00501507 / -0.00501507 | 0.00570204 / -0.00570204 | 0.0294777 / -0.0294777 | 0.00665195 / -0.00665195 | 0.0342392 / -0.0342392 | 0.0213681 / -0.0213681 | 0.00587572 / -0.00587572 | 0.0397833 / -0.0397833 | 0.0255206 / -0.0255206 | 0.0501907 / -0.0501907 |
 | gamma_stat_SR__GNN_RUN2_bin_2 | 0.00813516 / -0.00813516 | 0.0106863 / -0.0106863 | 0.0384474 / -0.0384474 | 0.0525488 / -0.0525488 | 0.00421511 / -0.00421511 | 0.0261958 / -0.0261958 | 0.014133 / -0.014133 | 0.0292538 / -0.0292538 | 0.0282702 / -0.0282702 | 0.0243338 / -0.0243338 |
 | gamma_stat_SR__GNN_RUN2_bin_3 | 0.0175183 / -0.0175183 | 0.0226812 / -0.0226812 | 0.0315836 / -0.0315836 | 0.0104289 / -0.0104289 | 0.00835128 / -0.00835128 | 0.0327287 / -0.0327287 | 0.0241948 / -0.0241948 | 0.0264167 / -0.0264167 | 0.0135706 / -0.0135706 | 0.0159913 / -0.0159913 |
 | gamma_stat_SR__GNN_RUN2_bin_4 | 0.0178434 / -0.0178434 | 0.0219994 / -0.0219994 | 0.00266117 / -0.00266117 | 0.0164231 / -0.0164231 | 0.0344336 / -0.0344336 | 0.019888 / -0.019888 | 0.0253374 / -0.0253374 | 8.37889e-08 / -8.37889e-08 | 8.92827e-08 / -8.92827e-08 | 0.00708265 / -0.00708265 |
 | gamma_stat_SR__GNN_RUN2_bin_5 | 0.0284248 / -0.0284248 | 0.0344751 / -0.0344751 | 0.0260306 / -0.0260306 | 0.0358735 / -0.0358735 | 0.0441418 / -0.0441418 | 0.0182241 / -0.0182241 | 0.0300359 / -0.0300359 | 0.00983262 / -0.00983262 | 0.100509 / -0.100509 | 0.00367017 / -0.00367017 |
 | gamma_stat_SR__GNN_RUN2_bin_6 | 0.054997 / -0.054997 | 0.0412482 / -0.0412482 | 0.0107508 / -0.0107508 | 0.020693 / -0.020693 | 0.0170853 / -0.0170853 | 0.0117298 / -0.0117298 | 0.0366961 / -0.0366961 | 3.86687e-05 / -3.86687e-05 | 8.24963e-08 / -8.24963e-08 | 0.00257589 / -0.00257589 |
 | mu_XS_hh | 16.9073 / -12.1306 | 16.9073 / -12.1306 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
