 |       | HHggF      | HHVBF      | t      | Othertop      | Single-H      | VV      | VVV      | V      | W+jets      | Z+jets |
 | gamma_stat_SR__PNN_COMBINED_bin_0 | 0.000620495 / -0.000620495 | 0.00157619 / -0.00157619 | 0.00657625 / -0.00657625 | 0.00685359 / -0.00685359 | 0.00434236 / -0.00434236 | 0.00602862 / -0.00602862 | 0.00436836 / -0.00436836 | 0.0101758 / -0.0101758 | 0.00741265 / -0.00741265 | 0.0107306 / -0.0107306 |
 | gamma_stat_SR__PNN_COMBINED_bin_1 | 0.00123942 / -0.00123942 | 0.0024514 / -0.0024514 | 0.00820204 / -0.00820204 | 0.00816352 / -0.00816352 | 0.00397132 / -0.00397132 | 0.00819269 / -0.00819269 | 0.00730364 / -0.00730364 | 0.00738654 / -0.00738654 | 0.0112608 / -0.0112608 | 0.00958346 / -0.00958346 |
 | gamma_stat_SR__PNN_COMBINED_bin_2 | 0.0023216 / -0.0023216 | 0.00509976 / -0.00509976 | 0.00923706 / -0.00923706 | 0.01013 / -0.01013 | 0.00599686 / -0.00599686 | 0.0103322 / -0.0103322 | 0.0107753 / -0.0107753 | 0.0085104 / -0.0085104 | 0.0123759 / -0.0123759 | 0.0102454 / -0.0102454 |
 | gamma_stat_SR__PNN_COMBINED_bin_3 | 0.00343278 / -0.00343278 | 0.00569738 / -0.00569738 | 0.00850037 / -0.00850037 | 0.00791218 / -0.00791218 | 0.00875581 / -0.00875581 | 0.0081626 / -0.0081626 | 0.00904354 / -0.00904354 | 0.00749494 / -0.00749494 | 0.00402783 / -0.00402783 | 0.00667181 / -0.00667181 |
 | gamma_stat_SR__PNN_COMBINED_bin_4 | 0.00637505 / -0.00637505 | 0.00748554 / -0.00748554 | 0.00772598 / -0.00772598 | 0.00693024 / -0.00693024 | 0.0103107 / -0.0103107 | 0.00695746 / -0.00695746 | 0.00749588 / -0.00749588 | 0.0048164 / -0.0048164 | 0.00595164 / -0.00595164 | 0.00479315 / -0.00479315 |
 | gamma_stat_SR__PNN_COMBINED_bin_5 | 0.0145994 / -0.0145994 | 0.0152921 / -0.0152921 | 0.00690982 / -0.00690982 | 0.00683205 / -0.00683205 | 0.010084 / -0.010084 | 0.00714772 / -0.00714772 | 0.00829718 / -0.00829718 | 0.00439045 / -0.00439045 | 0.00713685 / -0.00713685 | 0.00431914 / -0.00431914 |
 | gamma_stat_SR__PNN_COMBINED_bin_6 | 0.0192023 / -0.0192023 | 0.0143862 / -0.0143862 | 0.00304541 / -0.00304541 | 0.00329728 / -0.00329728 | 0.00989497 / -0.00989497 | 0.00374495 / -0.00374495 | 0.00404934 / -0.00404934 | 0.00836015 / -0.00836015 | 0.00228191 / -0.00228191 | 0.00290588 / -0.00290588 |
 | gamma_stat_SR__PNN_COMBINED_bin_7 | 0.0593173 / -0.0593173 | 0.0344704 / -0.0344704 | 0.00261099 / -0.00261099 | 0.00353704 / -0.00353704 | 0.0106993 / -0.0106993 | 0.00304188 / -0.00304188 | 0.00290467 / -0.00290467 | 0.00438131 / -0.00438131 | 0.00124046 / -0.00124046 | 0.00112702 / -0.00112702 |
 | mu_XS_hh | 10.1298 / -8.10241 | 10.1298 / -8.10241 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
