config,channel,era,method,exp,exp_m2,exp_m1,exp_p1,exp_p2,obs,tot_error,tot_error_up,tot_error_dn,stat_error,stat_error_up,stat_error_dn,syst_error,syst_error_up,syst_error_dn,mcstat_error,mcstat_error_up,mcstat_error_dn,totsyst_error,totsyst_error_up,totsyst_error_dn,nf_error,nf_error_up,nf_error_dn,n_bins,S,B,SB_last_bin,Z_asimov
hh1l2tau_run2_PNN,1l2tau,run2,PNN,27.93062973022461,13.547708511352539,18.9462890625,42.102237701416016,61.8431396484375,-1.0,11.548,13.0166,-10.1345,10.6298,12.3996,-8.76563,0.0,0.0,-0.0,4.51247,3.96013,-5.08637,4.51247,3.96013,-5.08637,0.0,0.0,-0.0,8.0,0.692280372548121,467.1129693914349,0.03762255302214173,0.09513418437867173
hh2l2tau_run2_XGB,2l2tau,run2,XGB,28.782485961914062,13.200984954833984,18.88840675354004,45.34254455566406,70.01215362548828,-1.0,10.5956,12.7464,-8.67542,10.3402,12.6049,-8.21725,0.0,0.0,-0.0,2.31262,1.8935,-2.78203,2.31262,1.8935,-2.78203,0.0,0.0,-0.0,6.0,0.23470913147033434,32.39005040476277,0.0569211741762132,0.0984350589742468
hh2l2tau_run3_MLP,2l2tau,run3,MLP,29.276796340942383,13.248621940612793,19.04595184326172,46.82062911987305,73.91117095947266,-1.0,10.5691,12.8271,-8.63764,9.94858,12.4913,-7.47369,0.0,0.0,-0.0,3.56814,2.91608,-4.33045,3.56814,2.91608,-4.33045,0.0,0.0,-0.0,6.0,0.2869376522804351,72.71083608311345,0.05533658521828092,0.1023232833148474
hh2l2tau_run2_MLP,2l2tau,run2,MLP,30.085777282714844,13.797122955322266,19.742589950561523,47.39966583251953,73.19805908203125,-1.0,11.0583,13.3107,-9.04491,10.7576,13.1448,-8.5033,0.0,0.0,-0.0,2.56122,2.0949,-3.0829,2.56122,2.0949,-3.0829,0.0,0.0,-0.0,6.0,0.23267046594637739,31.89947630252802,0.05487829925415093,0.09453773895504729
hh1l2tau_run2_MLP,1l2tau,run2,MLP,30.879365921020508,15.260994911193848,21.17670249938965,45.90896224975586,66.45526123046875,-1.0,13.2708,14.6113,-11.9801,12.1508,13.7944,-10.4406,0.0,0.0,-0.0,5.33607,4.81708,-5.87503,5.33607,4.81708,-5.87503,0.0,0.0,-0.0,8.0,0.6849276317464607,423.34957182313167,0.026428718974308818,0.08291818623940919
hh1l2tau_run3_DNN,1l2tau,run3,DNN,31.03090476989746,15.060439109802246,21.044532775878906,46.899147033691406,69.27538299560547,-1.0,12.9162,14.4636,-11.5231,10.7606,12.9836,-8.2937,0.0,0.0,-0.0,7.14396,6.37348,-7.99985,7.14396,6.37348,-7.99985,0.0,0.0,-0.0,7.0,0.8533739835696441,692.5219376873913,0.02386801827509861,0.09457286626778533
hh2l2tau_run2_DNN,2l2tau,run2,DNN,31.90900993347168,14.585980415344238,20.893596649169922,50.48246765136719,78.48725891113281,-1.0,11.663,14.0659,-9.53732,11.1849,13.8038,-8.66451,0.0,0.0,-0.0,3.3049,2.70257,-3.98582,3.3049,2.70257,-3.98582,0.0,0.0,-0.0,6.0,0.2328896349397208,31.75294065075502,0.05172509748140748,0.09083268259351583
hh2l2tau_run3_PNN,2l2tau,run3,PNN,32.03364944458008,14.953392028808594,21.246335983276367,49.746009826660156,75.52616119384766,-1.0,12.1737,14.3838,-10.1295,11.7218,14.1215,-9.35589,0.0,0.0,-0.0,3.28605,2.73426,-3.88262,3.28605,2.73426,-3.88262,0.0,0.0,-0.0,6.0,0.28675159659534877,74.2900424602299,0.047211292920004144,0.08649580106232904
hh1l2tau_run3_PNN,1l2tau,run3,PNN,32.464595794677734,15.343941688537598,21.656911849975586,50.37578201293945,77.12388610839844,-1.0,12.8791,14.7724,-11.2793,10.2565,13.1029,-6.88458,0.0,0.0,-0.0,7.78944,6.82184,-8.9345,7.78944,6.82184,-8.9345,0.0,0.0,-0.0,7.0,0.8533372030057056,665.4794794033802,0.025160829833230324,0.09941225240154165
hh2l2tau_run2_PNN,2l2tau,run2,PNN,34.539669036865234,16.103269577026367,22.894136428833008,53.637901306152344,81.36121368408203,-1.0,13.0501,15.4631,-10.8179,12.7205,15.2732,-10.252,0.0,0.0,-0.0,2.91418,2.41572,-3.45303,2.91418,2.41572,-3.45303,0.0,0.0,-0.0,6.0,0.23396191873463992,37.6060505813369,0.044562657517260025,0.07964783229474659
hh2l2tau_run3_DNN,2l2tau,run3,DNN,35.39597702026367,16.319561004638672,23.264936447143555,56.0606803894043,88.0073013305664,-1.0,13.3121,15.7072,-11.3086,11.9128,14.8743,-8.87387,0.0,0.0,-0.0,5.94104,5.04691,-7.00995,5.94104,5.04691,-7.00995,0.0,0.0,-0.0,5.0,0.28674427775248745,64.20072744913227,0.03255596850774509,0.08492914580979209
hh2l2tau_run3_GNN,2l2tau,run3,GNN,37.095008850097656,17.770170211791992,24.982072830200195,56.417728424072266,83.68334197998047,-1.0,14.8232,17.0092,-12.7066,14.3078,16.6818,-11.9035,0.0,0.0,-0.0,3.87458,3.32135,-4.44598,3.87458,3.32135,-4.44598,0.0,0.0,-0.0,6.0,0.2847361056800802,64.65542326772926,0.03517028085063209,0.07060228063343563
hh2l2tau_run2_GNN,2l2tau,run2,GNN,37.379600524902344,17.65129852294922,24.965984344482422,57.42346954345703,86.02049255371094,-1.0,14.4598,16.9073,-12.1306,14.1203,16.7041,-11.5708,0.0,0.0,-0.0,3.11509,2.61331,-3.64236,3.11509,2.61331,-3.64236,0.0,0.0,-0.0,7.0,0.23147992902441686,34.13087165926321,0.038883831901882625,0.07160996484207792
hh1l2tau_run3_GNN,1l2tau,run3,GNN,38.90713882446289,19.68511199951172,27.051286697387695,56.78374481201172,80.59628295898438,-1.0,17.5347,18.7797,-16.3563,15.4575,17.1186,-13.7448,0.0,0.0,-0.0,8.27843,7.7221,-8.86622,8.27843,7.7221,-8.86622,0.0,0.0,-0.0,8.0,0.8523493853313208,806.4937287449757,0.013228201652076573,0.06502338587405448
hh1l2tau_run3_MLP,1l2tau,run3,MLP,39.34391784667969,18.758386611938477,26.383777618408203,60.55845642089844,91.75942993164062,-1.0,15.8309,17.9939,-14.0013,11.7273,15.3402,-7.06663,0.0,0.0,-0.0,10.6342,9.40523,-12.0872,10.6342,9.40523,-12.0872,0.0,0.0,-0.0,7.0,0.8547477947191248,722.1401523388934,0.018006047005758904,0.086820225056316
hh1l2tau_run2_GNN,1l2tau,run2,GNN,40.57514190673828,20.806577682495117,28.44146728515625,58.638397216796875,82.13865661621094,-1.0,18.7852,19.8212,-17.7993,17.729,18.9277,-16.5494,0.0,0.0,-0.0,6.20999,5.8841,-6.55249,6.20999,5.8841,-6.55249,0.0,0.0,-0.0,8.0,0.6914450425029106,524.396263954978,0.010799472261511974,0.056537062826298064
