process,n_run2,n_run3,n_folds,mean_auc,std_auc,ci_lo,ci_hi
SingleH,2946,3240,3,0.6581568777470095,0.006857911124323427,0.6095205613750879,0.706327914991475
VVV,3593,13941,3,0.61047987539897,0.008215994929593736,0.5887746070292221,0.6313637697311313
Vgamma,2019,2366,3,0.57169420154819,0.01848410584857009,0.5297524887787993,0.6126799590480065
Diboson,36877,82336,3,0.5448887021427485,0.0013259277685332821,0.536521841602322,0.5520733402336692
Zjets,7746,12919,3,0.5289393989292946,0.014952594081429335,0.5064127415908249,0.551753353258003
signal_ggF,31959,96909,3,0.5183309680046276,0.00034296125791826945,0.5145817026337405,0.5221978994640938
ttbar,331,3276,3,0.5096334342786918,0.01694595381013471,0.4746187340368019,0.5458308550392418
signal_VBF,5598,3439,3,0.4924611762007842,0.00848268642587213,0.4796889933356452,0.504762051641743
tops,3832,11065,3,0.48739022279074473,0.06041952515245107,0.41628560625147865,0.570039164697149
Wjets,67,51,3,0.3418585453793263,0.0943447816271291,0.12905106817849518,0.5096577827699645
