 |       | HHggF      | HHVBF      | t      | Othertop      | Single-H      | VV      | VVV      | V      | W+jets      | Z+jets |
 | gamma_stat_SR__PNN_RUN2_bin_0 | 0.00456611 / -0.00456611 | 0.00999429 / -0.00999429 | 0.0286175 / -0.0286175 | 0.020006 / -0.020006 | 0.0135255 / -0.0135255 | 0.0219382 / -0.0219382 | 0.0168679 / -0.0168679 | 0.0424916 / -0.0424916 | 0.00959891 / -0.00959891 | 0.0299566 / -0.0299566 |
 | gamma_stat_SR__PNN_RUN2_bin_1 | 0.00347295 / -0.00347295 | 0.00651798 / -0.00651798 | 0.0177568 / -0.0177568 | 0.0134535 / -0.0134535 | 0.0106971 / -0.0106971 | 0.012341 / -0.012341 | 0.00806533 / -0.00806533 | 0.0193923 / -0.0193923 | 0.0433676 / -0.0433676 | 0.0174889 / -0.0174889 |
 | gamma_stat_SR__PNN_RUN2_bin_2 | 0.0105011 / -0.0105011 | 0.0182807 / -0.0182807 | 0.0184372 / -0.0184372 | 0.0298055 / -0.0298055 | 0.0393525 / -0.0393525 | 0.0232998 / -0.0232998 | 0.0229872 / -0.0229872 | 0.016487 / -0.016487 | 0.00539801 / -0.00539801 | 0.0347169 / -0.0347169 |
 | gamma_stat_SR__PNN_RUN2_bin_3 | 0.00856776 / -0.00856776 | 0.0121168 / -0.0121168 | 0.0138784 / -0.0138784 | 0.0166876 / -0.0166876 | 0.0135377 / -0.0135377 | 0.0122373 / -0.0122373 | 0.0126404 / -0.0126404 | 0.00863576 / -0.00863576 | 0.0241614 / -0.0241614 | 0.00734264 / -0.00734264 |
 | gamma_stat_SR__PNN_RUN2_bin_4 | 0.0196643 / -0.0196643 | 0.0205591 / -0.0205591 | 0.0121421 / -0.0121421 | 0.00907247 / -0.00907247 | 0.00911108 / -0.00911108 | 0.0164743 / -0.0164743 | 0.021157 / -0.021157 | 0.00765488 / -0.00765488 | 0.000661521 / -0.000661521 | 0.00830803 / -0.00830803 |
 | gamma_stat_SR__PNN_RUN2_bin_5 | 0.0264541 / -0.0264541 | 0.0218667 / -0.0218667 | 0.00522763 / -0.00522763 | 0.00278251 / -0.00278251 | 0.0165195 / -0.0165195 | 0.0130504 / -0.0130504 | 0.0150014 / -0.0150014 | 0.00140474 / -0.00140474 | 9.39819e-05 / -9.39819e-05 | 0.00417537 / -0.00417537 |
 | gamma_stat_SR__PNN_RUN2_bin_6 | 0.0535643 / -0.0535643 | 0.0270798 / -0.0270798 | 0.00258308 / -0.00258308 | 0.0123575 / -0.0123575 | 0.00687466 / -0.00687466 | 0.00640326 / -0.00640326 | 0.0139056 / -0.0139056 | 0.000324136 / -0.000324136 | 5.01454e-08 / -5.01454e-08 | 0.00127179 / -0.00127179 |
 | mu_XS_hh | 14.4489 / -10.3318 | 14.4489 / -10.3318 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
