 |       | HHggF      | HHVBF      | t      | Othertop      | Single-H      | VV      | VVV      | V      | W+jets      | Z+jets |
 | gamma_stat_SR__GNN_RUN3_bin_0 | 0.00169314 / -0.00169314 | 0.00292997 / -0.00292997 | 0.0134022 / -0.0134022 | 0.0080205 / -0.0080205 | 0.00510347 / -0.00510347 | 0.00663407 / -0.00663407 | 0.00552067 / -0.00552067 | 0.0125617 / -0.0125617 | 0.0142725 / -0.0142725 | 0.0147248 / -0.0147248 |
 | gamma_stat_SR__GNN_RUN3_bin_1 | 0.00271685 / -0.00271685 | 0.00565967 / -0.00565967 | 0.0111905 / -0.0111905 | 0.0128712 / -0.0128712 | 0.00448697 / -0.00448697 | 0.00956066 / -0.00956066 | 0.00892338 / -0.00892338 | 0.0128576 / -0.0128576 | 0.0166565 / -0.0166565 | 0.014535 / -0.014535 |
 | gamma_stat_SR__GNN_RUN3_bin_2 | 0.00387718 / -0.00387718 | 0.00765414 / -0.00765414 | 0.0109677 / -0.0109677 | 0.0131749 / -0.0131749 | 0.0155815 / -0.0155815 | 0.00995893 / -0.00995893 | 0.00956625 / -0.00956625 | 0.00789429 / -0.00789429 | 0.0115973 / -0.0115973 | 0.0106036 / -0.0106036 |
 | gamma_stat_SR__GNN_RUN3_bin_3 | 0.00543349 / -0.00543349 | 0.00978645 / -0.00978645 | 0.00754956 / -0.00754956 | 0.00944294 / -0.00944294 | 0.00934671 / -0.00934671 | 0.0106994 / -0.0106994 | 0.0103867 / -0.0103867 | 0.0178929 / -0.0178929 | 0.0107734 / -0.0107734 | 0.00949177 / -0.00949177 |
 | gamma_stat_SR__GNN_RUN3_bin_4 | 0.00895825 / -0.00895825 | 0.0100625 / -0.0100625 | 0.00810537 / -0.00810537 | 0.0051029 / -0.0051029 | 0.00952327 / -0.00952327 | 0.00951125 / -0.00951125 | 0.0108363 / -0.0108363 | 0.00406006 / -0.00406006 | 0.00361304 / -0.00361304 | 0.00497859 / -0.00497859 |
 | gamma_stat_SR__GNN_RUN3_bin_5 | 0.0111996 / -0.0111996 | 0.00905687 / -0.00905687 | 0.00496788 / -0.00496788 | 0.00612925 / -0.00612925 | 0.00548876 / -0.00548876 | 0.00707627 / -0.00707627 | 0.00789392 / -0.00789392 | 0.00314523 / -0.00314523 | 0.00185117 / -0.00185117 | 0.0031556 / -0.0031556 |
 | gamma_stat_SR__GNN_RUN3_bin_6 | 0.0163199 / -0.0163199 | 0.0122703 / -0.0122703 | 0.00339127 / -0.00339127 | 0.00322971 / -0.00322971 | 0.00742935 / -0.00742935 | 0.00548988 / -0.00548988 | 0.00596221 / -0.00596221 | 0.00177855 / -0.00177855 | 0.00112018 / -0.00112018 | 0.00261341 / -0.00261341 |
 | gamma_stat_SR__GNN_RUN3_bin_7 | 0.0311771 / -0.0311771 | 0.0134359 / -0.0134359 | 0.00194081 / -0.00194081 | 0.00642842 / -0.00642842 | 0.0108781 / -0.0108781 | 0.00611127 / -0.00611127 | 0.0063243 / -0.0063243 | 0.000474811 / -0.000474811 | 6.69984e-10 / -6.69984e-10 | 0.000167481 / -0.000167481 |
 | mu_XS_hh | 18.7797 / -16.3563 | 18.7797 / -16.3563 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
