 |       | HHggF      | HHVBF      | t      | Othertop      | Single-H      | VV      | VVV      | V      | W+jets      | Z+jets |
 | gamma_stat_SR__DNN_RUN2_bin_0 | 0.00125424 / -0.00125424 | 0.00279509 / -0.00279509 | 0.00866092 / -0.00866092 | 0.00956644 / -0.00956644 | 0.00281739 / -0.00281739 | 0.0100405 / -0.0100405 | 0.00841997 / -0.00841997 | 0.0117362 / -0.0117362 | 0.0137305 / -0.0137305 | 0.014346 / -0.014346 |
 | gamma_stat_SR__DNN_RUN2_bin_1 | 0.00311804 / -0.00311804 | 0.00589772 / -0.00589772 | 0.019026 / -0.019026 | 0.0150377 / -0.0150377 | 0.008508 / -0.008508 | 0.0172016 / -0.0172016 | 0.0161167 / -0.0161167 | 0.0143406 / -0.0143406 | 0.0296447 / -0.0296447 | 0.0190275 / -0.0190275 |
 | gamma_stat_SR__DNN_RUN2_bin_2 | 0.00305305 / -0.00305305 | 0.00532207 / -0.00532207 | 0.00888564 / -0.00888564 | 0.0122835 / -0.0122835 | 0.00640986 / -0.00640986 | 0.0104499 / -0.0104499 | 0.00913049 / -0.00913049 | 0.00545312 / -0.00545312 | 0.00605538 / -0.00605538 | 0.0105797 / -0.0105797 |
 | gamma_stat_SR__DNN_RUN2_bin_3 | 0.00603992 / -0.00603992 | 0.00841228 / -0.00841228 | 0.0130768 / -0.0130768 | 0.0120567 / -0.0120567 | 0.0173359 / -0.0173359 | 0.0106696 / -0.0106696 | 0.0142564 / -0.0142564 | 0.0149242 / -0.0149242 | 0.00840253 / -0.00840253 | 0.00828824 / -0.00828824 |
 | gamma_stat_SR__DNN_RUN2_bin_4 | 0.0086071 / -0.0086071 | 0.010078 / -0.010078 | 0.00759217 / -0.00759217 | 0.0074718 / -0.0074718 | 0.00950043 / -0.00950043 | 0.00745748 / -0.00745748 | 0.00877265 / -0.00877265 | 0.0105882 / -0.0105882 | 0.00488583 / -0.00488583 | 0.00490879 / -0.00490879 |
 | gamma_stat_SR__DNN_RUN2_bin_5 | 0.0125228 / -0.0125228 | 0.012943 / -0.012943 | 0.0051232 / -0.0051232 | 0.00344009 / -0.00344009 | 0.0101115 / -0.0101115 | 0.0048701 / -0.0048701 | 0.00453405 / -0.00453405 | 0.00453618 / -0.00453618 | 0.00292864 / -0.00292864 | 0.00390177 / -0.00390177 |
 | gamma_stat_SR__DNN_RUN2_bin_6 | 0.0288871 / -0.0288871 | 0.0218278 / -0.0218278 | 0.0042386 / -0.0042386 | 0.00457987 / -0.00457987 | 0.0105705 / -0.0105705 | 0.00464495 / -0.00464495 | 0.00426783 / -0.00426783 | 0.0036773 / -0.0036773 | 0.00393662 / -0.00393662 | 0.00317605 / -0.00317605 |
 | gamma_stat_SR__DNN_RUN2_bin_7 | 0.0424096 / -0.0424096 | 0.0216923 / -0.0216923 | 0.00197707 / -0.00197707 | 0.00104718 / -0.00104718 | 0.0133808 / -0.0133808 | 0.00175937 / -0.00175937 | 0.00246053 / -0.00246053 | 0.00120416 / -0.00120416 | 0.000230964 / -0.000230964 | 0.000663356 / -0.000663356 |
 | mu_XS_hh | 12.6538 / -9.6541 | 12.6538 / -9.6541 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
