 |       | HHggF      | HHVBF      | t      | Othertop      | Single-H      | VV      | VVV      | V      | W+jets      | Z+jets |
 | gamma_stat_LowMVA__GNN_RUN3_bin_0 | 0.00101399 / -0.00101399 | 0.000168784 / -0.000168784 | 0.00238495 / -0.00238495 | 0.00982584 / -0.00982584 | 0.012184 / -0.012184 | 0.00566717 / -0.00566717 | 0.0014462 / -0.0014462 | 0.0226465 / -0.0226465 | 0.000311614 / -0.000311614 | 0.0182898 / -0.0182898 |
 | gamma_stat_LowMVA__GNN_RUN3_bin_1 | 0.00277641 / -0.00277641 | 0.00609853 / -0.00609853 | 0.00443126 / -0.00443126 | 0.0121306 / -0.0121306 | 0.0177005 / -0.0177005 | 0.0104943 / -0.0104943 | 0.00440776 / -0.00440776 | 0.0223908 / -0.0223908 | 5.43478e-08 / -5.43478e-08 | 0.0207665 / -0.0207665 |
 | gamma_stat_LowMVA__GNN_RUN3_bin_2 | 0.00648124 / -0.00648124 | 0.00670779 / -0.00670779 | 0.00920143 / -0.00920143 | 0.000620953 / -0.000620953 | 0.0130104 / -0.0130104 | 0.0138087 / -0.0138087 | 0.0073456 / -0.0073456 | 0.0220217 / -0.0220217 | 6.00201e-08 / -6.00201e-08 | 0.019389 / -0.019389 |
 | gamma_stat_LowMVA__GNN_RUN3_bin_3 | 0.0101256 / -0.0101256 | 0.00795763 / -0.00795763 | 0.013962 / -0.013962 | 0.0186202 / -0.0186202 | 0.0177348 / -0.0177348 | 0.0147128 / -0.0147128 | 0.0109412 / -0.0109412 | 0.0124393 / -0.0124393 | 0.0159801 / -0.0159801 | 0.0152051 / -0.0152051 |
 | gamma_stat_LowMVA__GNN_RUN3_bin_4 | 0.0341141 / -0.0341141 | 0.031644 / -0.031644 | 0.0325598 / -0.0325598 | 0.0279872 / -0.0279872 | 0.0338808 / -0.0338808 | 0.0362203 / -0.0362203 | 0.0379643 / -0.0379643 | 0.0195675 / -0.0195675 | 1.00555e-07 / -1.00555e-07 | 0.0235915 / -0.0235915 |
 | gamma_stat_LowMVA__GNN_RUN3_bin_5 | 0.0358572 / -0.0358572 | 0.0371379 / -0.0371379 | 0.0265284 / -0.0265284 | 0.052106 / -0.052106 | 0.0181333 / -0.0181333 | 0.0247112 / -0.0247112 | 0.0335157 / -0.0335157 | 0.00882378 / -0.00882378 | 0.124261 / -0.124261 | 0.0135794 / -0.0135794 |
 | gamma_stat_LowMVA__GNN_RUN3_bin_6 | 0.0298238 / -0.0298238 | 0.0268417 / -0.0268417 | 0.0324516 / -0.0324516 | 0.0132473 / -0.0132473 | 0.0124317 / -0.0124317 | 0.0163188 / -0.0163188 | 0.0269906 / -0.0269906 | 0.00486848 / -0.00486848 | 8.38725e-08 / -8.38725e-08 | 0.00562834 / -0.00562834 |
 | gamma_stat_LowMVA__GNN_RUN3_bin_7 | 0.0377422 / -0.0377422 | 0.0412671 / -0.0412671 | 0.0277812 / -0.0277812 | 0.0131129 / -0.0131129 | 0.00441213 / -0.00441213 | 0.0194803 / -0.0194803 | 0.0327408 / -0.0327408 | 0.00434623 / -0.00434623 | 0.0376441 / -0.0376441 | 0.00495815 / -0.00495815 |
