 |       | HHggF      | HHVBF      | t      | Othertop      | Single-H      | VV      | VVV      | V      | W+jets      | Z+jets |
 | gamma_stat_SR__DNN_RUN3_bin_0 | 0.00190069 / -0.00190069 | 0.00423673 / -0.00423673 | 0.0160421 / -0.0160421 | 0.0143557 / -0.0143557 | 0.0101544 / -0.0101544 | 0.013273 / -0.013273 | 0.0118249 / -0.0118249 | 0.0259344 / -0.0259344 | 0.0123121 / -0.0123121 | 0.0200087 / -0.0200087 |
 | gamma_stat_SR__DNN_RUN3_bin_1 | 0.00230673 / -0.00230673 | 0.00549762 / -0.00549762 | 0.00961983 / -0.00961983 | 0.0128474 / -0.0128474 | 0.0107048 / -0.0107048 | 0.00997952 / -0.00997952 | 0.00995337 / -0.00995337 | 0.00549587 / -0.00549587 | 0.0118784 / -0.0118784 | 0.0112697 / -0.0112697 |
 | gamma_stat_SR__DNN_RUN3_bin_2 | 0.00396608 / -0.00396608 | 0.00700691 / -0.00700691 | 0.00996503 / -0.00996503 | 0.00994068 / -0.00994068 | 0.0103043 / -0.0103043 | 0.0106471 / -0.0106471 | 0.0105187 / -0.0105187 | 0.00655573 / -0.00655573 | 0.0141454 / -0.0141454 | 0.00857507 / -0.00857507 |
 | gamma_stat_SR__DNN_RUN3_bin_3 | 0.008894 / -0.008894 | 0.010391 / -0.010391 | 0.0117034 / -0.0117034 | 0.00813489 / -0.00813489 | 0.00959631 / -0.00959631 | 0.0121842 / -0.0121842 | 0.0124672 / -0.0124672 | 0.00726207 / -0.00726207 | 0.0133536 / -0.0133536 | 0.00795942 / -0.00795942 |
 | gamma_stat_SR__DNN_RUN3_bin_4 | 0.0147869 / -0.0147869 | 0.0151909 / -0.0151909 | 0.0086721 / -0.0086721 | 0.00899982 / -0.00899982 | 0.0117608 / -0.0117608 | 0.00950013 / -0.00950013 | 0.0119879 / -0.0119879 | 0.00844383 / -0.00844383 | 0.00855006 / -0.00855006 | 0.00822419 / -0.00822419 |
 | gamma_stat_SR__DNN_RUN3_bin_5 | 0.0137463 / -0.0137463 | 0.0110222 / -0.0110222 | 0.0035393 / -0.0035393 | 0.00250014 / -0.00250014 | 0.00638761 / -0.00638761 | 0.00411672 / -0.00411672 | 0.00422369 / -0.00422369 | 0.00305362 / -0.00305362 | 0.000705846 / -0.000705846 | 0.00137389 / -0.00137389 |
 | gamma_stat_SR__DNN_RUN3_bin_6 | 0.0694849 / -0.0694849 | 0.0425745 / -0.0425745 | 0.00312301 / -0.00312301 | 0.00871946 / -0.00871946 | 0.0118519 / -0.0118519 | 0.00610749 / -0.00610749 | 0.00640716 / -0.00640716 | 0.00229221 / -0.00229221 | 0.000785923 / -0.000785923 | 0.00177035 / -0.00177035 |
 | mu_XS_hh | 14.4636 / -11.5231 | 14.4636 / -11.5231 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
