 |       | HHggF      | HHVBF      | t      | Othertop      | Single-H      | VV      | VVV      | V      | W+jets      | Z+jets |
 | gamma_stat_SR__PNN_RUN2_bin_0 | 0.00103245 / -0.00103245 | 0.00241967 / -0.00241967 | 0.00973203 / -0.00973203 | 0.00998416 / -0.00998416 | 0.00602931 / -0.00602931 | 0.0102649 / -0.0102649 | 0.00711015 / -0.00711015 | 0.0109197 / -0.0109197 | 0.0144391 / -0.0144391 | 0.0197519 / -0.0197519 |
 | gamma_stat_SR__PNN_RUN2_bin_1 | 0.00178501 / -0.00178501 | 0.00358553 / -0.00358553 | 0.0116741 / -0.0116741 | 0.0117577 / -0.0117577 | 0.00460879 / -0.00460879 | 0.0111744 / -0.0111744 | 0.00994045 / -0.00994045 | 0.0126965 / -0.0126965 | 0.0160423 / -0.0160423 | 0.0130218 / -0.0130218 |
 | gamma_stat_SR__PNN_RUN2_bin_2 | 0.00444734 / -0.00444734 | 0.00804607 / -0.00804607 | 0.0168824 / -0.0168824 | 0.0166864 / -0.0166864 | 0.00670101 / -0.00670101 | 0.0177259 / -0.0177259 | 0.0179829 / -0.0179829 | 0.0123933 / -0.0123933 | 0.0247544 / -0.0247544 | 0.0153255 / -0.0153255 |
 | gamma_stat_SR__PNN_RUN2_bin_3 | 0.00429539 / -0.00429539 | 0.00646894 / -0.00646894 | 0.00843266 / -0.00843266 | 0.00888174 / -0.00888174 | 0.0124039 / -0.0124039 | 0.00827699 / -0.00827699 | 0.00999943 / -0.00999943 | 0.00899378 / -0.00899378 | 0.00356505 / -0.00356505 | 0.00537347 / -0.00537347 |
 | gamma_stat_SR__PNN_RUN2_bin_4 | 0.00785475 / -0.00785475 | 0.00990035 / -0.00990035 | 0.00728474 / -0.00728474 | 0.00706877 / -0.00706877 | 0.00737575 / -0.00737575 | 0.00696517 / -0.00696517 | 0.00794339 / -0.00794339 | 0.00665453 / -0.00665453 | 0.00246711 / -0.00246711 | 0.00415997 / -0.00415997 |
 | gamma_stat_SR__PNN_RUN2_bin_5 | 0.0116886 / -0.0116886 | 0.0122485 / -0.0122485 | 0.00511778 / -0.00511778 | 0.0040814 / -0.0040814 | 0.00946092 / -0.00946092 | 0.00423599 / -0.00423599 | 0.00491315 / -0.00491315 | 0.00639983 / -0.00639983 | 0.00223219 / -0.00223219 | 0.00324731 / -0.00324731 |
 | gamma_stat_SR__PNN_RUN2_bin_6 | 0.0308268 / -0.0308268 | 0.0229102 / -0.0229102 | 0.00281364 / -0.00281364 | 0.0042349 / -0.0042349 | 0.0142777 / -0.0142777 | 0.00484179 / -0.00484179 | 0.00507513 / -0.00507513 | 0.00284226 / -0.00284226 | 0.00244741 / -0.00244741 | 0.00152767 / -0.00152767 |
 | gamma_stat_SR__PNN_RUN2_bin_7 | 0.0445983 / -0.0445983 | 0.0203078 / -0.0203078 | 0.00178014 / -0.00178014 | 0.00121793 / -0.00121793 | 0.0133905 / -0.0133905 | 0.00150764 / -0.00150764 | 0.00186156 / -0.00186156 | 0.000816069 / -0.000816069 | 0.00126564 / -0.00126564 | 0.00076487 / -0.00076487 |
 | mu_XS_hh | 13.0166 / -10.1345 | 13.0166 / -10.1345 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
