channel,model,track,val_auc,test_auc
1l2tau,mlp,Run 2,0.9298081334651547,0.9339021334993859
1l2tau,mlp,Run 3,0.9387945987876521,0.9408355559197955
1l2tau,mlp,Combined,0.9384191916842068,0.9372635612708704
