 |       | HHggF      | HHVBF      | t      | Othertop      | Single-H      | VV      | VVV      | V      | W+jets      | Z+jets |
 | gamma_stat_SR__MLP_COMBINED_bin_0 | 0.000984078 / -0.000984078 | 0.00186772 / -0.00186772 | 0.00942444 / -0.00942444 | 0.00961232 / -0.00961232 | 0.0155322 / -0.0155322 | 0.00766582 / -0.00766582 | 0.0044319 / -0.0044319 | 0.0102569 / -0.0102569 | 1.59582e-08 / -1.59582e-08 | 0.00877142 / -0.00877142 |
 | gamma_stat_SR__MLP_COMBINED_bin_1 | 0.00202046 / -0.00202046 | 0.00370106 / -0.00370106 | 0.0144937 / -0.0144937 | 0.0132718 / -0.0132718 | 0.00935843 / -0.00935843 | 0.0113193 / -0.0113193 | 0.0102922 / -0.0102922 | 0.0180339 / -0.0180339 | 0.0166244 / -0.0166244 | 0.0145217 / -0.0145217 |
 | gamma_stat_SR__MLP_COMBINED_bin_2 | 0.00248346 / -0.00248346 | 0.00445163 / -0.00445163 | 0.0119565 / -0.0119565 | 0.0142642 / -0.0142642 | 0.00562944 / -0.00562944 | 0.0103971 / -0.0103971 | 0.00893069 / -0.00893069 | 0.00922599 / -0.00922599 | 0.0139772 / -0.0139772 | 0.0133414 / -0.0133414 |
 | gamma_stat_SR__MLP_COMBINED_bin_3 | 0.00712477 / -0.00712477 | 0.0118756 / -0.0118756 | 0.0174623 / -0.0174623 | 0.014069 / -0.014069 | 0.0137573 / -0.0137573 | 0.0169667 / -0.0169667 | 0.0189195 / -0.0189195 | 0.0202763 / -0.0202763 | 0.0152458 / -0.0152458 | 0.0177819 / -0.0177819 |
 | gamma_stat_SR__MLP_COMBINED_bin_4 | 0.013407 / -0.013407 | 0.0178983 / -0.0178983 | 0.0168955 / -0.0168955 | 0.0177256 / -0.0177256 | 0.0164303 / -0.0164303 | 0.0172837 / -0.0172837 | 0.0197338 / -0.0197338 | 0.0153554 / -0.0153554 | 0.0332783 / -0.0332783 | 0.0184945 / -0.0184945 |
 | gamma_stat_SR__MLP_COMBINED_bin_5 | 0.0148882 / -0.0148882 | 0.0175689 / -0.0175689 | 0.00561543 / -0.00561543 | 0.00438362 / -0.00438362 | 0.0115418 / -0.0115418 | 0.00872227 / -0.00872227 | 0.00999893 / -0.00999893 | 0.00395471 / -0.00395471 | 1.83223e-08 / -1.83223e-08 | 0.00344345 / -0.00344345 |
 | gamma_stat_SR__MLP_COMBINED_bin_6 | 0.0320969 / -0.0320969 | 0.0252699 / -0.0252699 | 0.0019801 / -0.0019801 | 0.00445359 / -0.00445359 | 0.00288333 / -0.00288333 | 0.00824115 / -0.00824115 | 0.0112163 / -0.0112163 | 0.000887982 / -0.000887982 | 0.00299784 / -0.00299784 | 0.00194424 / -0.00194424 |
 | gamma_stat_SR__MLP_COMBINED_bin_7 | 0.0483867 / -0.0483867 | 0.0230656 / -0.0230656 | 0.0010857 / -0.0010857 | 0.00134117 / -0.00134117 | 0.0109454 / -0.0109454 | 0.00400227 / -0.00400227 | 0.00489342 / -0.00489342 | 0.000227948 / -0.000227948 | 3.9051e-08 / -3.9051e-08 | 9.96782e-05 / -9.96782e-05 |
 | mu_XS_hh | 7.94973 / -5.73863 | 7.94973 / -5.73863 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
