 |       | HHggF      | HHVBF      | t      | Othertop      | Single-H      | VV      | VVV      | V      | W+jets      | Z+jets |
 | gamma_stat_SR__GNN_RUN2_bin_0 | 0.00219172 / -0.00219172 | 0.00463594 / -0.00463594 | 0.0150193 / -0.0150193 | 0.0111735 / -0.0111735 | 0.00186001 / -0.00186001 | 0.0102636 / -0.0102636 | 0.00850968 / -0.00850968 | 0.0155513 / -0.0155513 | 0.0219766 / -0.0219766 | 0.0237938 / -0.0237938 |
 | gamma_stat_SR__GNN_RUN2_bin_1 | 0.00236277 / -0.00236277 | 0.00506555 / -0.00506555 | 0.010763 / -0.010763 | 0.0108208 / -0.0108208 | 0.00497726 / -0.00497726 | 0.00985331 / -0.00985331 | 0.00786031 / -0.00786031 | 0.0143718 / -0.0143718 | 0.013476 / -0.013476 | 0.0141499 / -0.0141499 |
 | gamma_stat_SR__GNN_RUN2_bin_2 | 0.00461597 / -0.00461597 | 0.00778817 / -0.00778817 | 0.0105708 / -0.0105708 | 0.0103051 / -0.0103051 | 0.0113522 / -0.0113522 | 0.0117604 / -0.0117604 | 0.0103274 / -0.0103274 | 0.0125102 / -0.0125102 | 0.0119059 / -0.0119059 | 0.0100617 / -0.0100617 |
 | gamma_stat_SR__GNN_RUN2_bin_3 | 0.00621281 / -0.00621281 | 0.00947682 / -0.00947682 | 0.00996864 / -0.00996864 | 0.0115854 / -0.0115854 | 0.00853482 / -0.00853482 | 0.00969977 / -0.00969977 | 0.00987348 / -0.00987348 | 0.00637145 / -0.00637145 | 0.00758935 / -0.00758935 | 0.00746895 / -0.00746895 |
 | gamma_stat_SR__GNN_RUN2_bin_4 | 0.00739568 / -0.00739568 | 0.00895448 / -0.00895448 | 0.00656529 / -0.00656529 | 0.00587128 / -0.00587128 | 0.0091314 / -0.0091314 | 0.00667054 / -0.00667054 | 0.00925897 / -0.00925897 | 0.0068253 / -0.0068253 | 0.00494202 / -0.00494202 | 0.00325075 / -0.00325075 |
 | gamma_stat_SR__GNN_RUN2_bin_5 | 0.011223 / -0.011223 | 0.0085316 / -0.0085316 | 0.00504311 / -0.00504311 | 0.00567777 / -0.00567777 | 0.0129108 / -0.0129108 | 0.00606106 / -0.00606106 | 0.00785047 / -0.00785047 | 0.00299446 / -0.00299446 | 0.00241615 / -0.00241615 | 0.00274009 / -0.00274009 |
 | gamma_stat_SR__GNN_RUN2_bin_6 | 0.0123449 / -0.0123449 | 0.0089758 / -0.0089758 | 0.00246176 / -0.00246176 | 0.00361805 / -0.00361805 | 0.00656592 / -0.00656592 | 0.00412279 / -0.00412279 | 0.00404198 / -0.00404198 | 0.00184828 / -0.00184828 | 0.000862579 / -0.000862579 | 0.00150819 / -0.00150819 |
 | gamma_stat_SR__GNN_RUN2_bin_7 | 0.02121 / -0.02121 | 0.0103766 / -0.0103766 | 0.00248779 / -0.00248779 | 0.00363684 / -0.00363684 | 0.00721822 / -0.00721822 | 0.00440203 / -0.00440203 | 0.00465266 / -0.00465266 | 0.00203802 / -0.00203802 | 0.000150766 / -0.000150766 | 0.00113536 / -0.00113536 |
