 |       | HHggF      | HHVBF      | t      | Othertop      | Single-H      | VV      | VVV      | V      | W+jets      | Z+jets |
 | gamma_stat_LowMVA__MLP_RUN3_bin_0 | 0.000970025 / -0.000970025 | 0.0005346 / -0.0005346 | 0.00337122 / -0.00337122 | 0.00690463 / -0.00690463 | 0.0041932 / -0.0041932 | 0.00903402 / -0.00903402 | 0.00646866 / -0.00646866 | 0.0186261 / -0.0186261 | 0.0214636 / -0.0214636 | 0.0218671 / -0.0218671 |
 | gamma_stat_LowMVA__MLP_RUN3_bin_1 | 0.0101915 / -0.0101915 | 0.00520975 / -0.00520975 | 0.0223429 / -0.0223429 | 0.0344262 / -0.0344262 | 0.0346571 / -0.0346571 | 0.0237792 / -0.0237792 | 0.0134936 / -0.0134936 | 0.0334601 / -0.0334601 | 0.0721142 / -0.0721142 | 0.0433764 / -0.0433764 |
 | gamma_stat_LowMVA__MLP_RUN3_bin_2 | 0.0109915 / -0.0109915 | 0.00945886 / -0.00945886 | 0.0170758 / -0.0170758 | 0.0235444 / -0.0235444 | 0.0089073 / -0.0089073 | 0.012169 / -0.012169 | 0.0099935 / -0.0099935 | 0.0209848 / -0.0209848 | 0.0202596 / -0.0202596 | 0.0212659 / -0.0212659 |
 | gamma_stat_LowMVA__MLP_RUN3_bin_3 | 0.0140561 / -0.0140561 | 0.0119703 / -0.0119703 | 0.0175086 / -0.0175086 | 0.0105555 / -0.0105555 | 0.0251263 / -0.0251263 | 0.0122881 / -0.0122881 | 0.0102781 / -0.0102781 | 0.0187959 / -0.0187959 | 0.0114968 / -0.0114968 | 0.0141946 / -0.0141946 |
 | gamma_stat_LowMVA__MLP_RUN3_bin_4 | 0.0183076 / -0.0183076 | 0.0131577 / -0.0131577 | 0.0175075 / -0.0175075 | 0.0167738 / -0.0167738 | 0.0169514 / -0.0169514 | 0.0161168 / -0.0161168 | 0.017388 / -0.017388 | 0.0140149 / -0.0140149 | 0.00792677 / -0.00792677 | 0.0118549 / -0.0118549 |
 | gamma_stat_LowMVA__MLP_RUN3_bin_5 | 0.0188626 / -0.0188626 | 0.0196425 / -0.0196425 | 0.0167311 / -0.0167311 | 0.00950386 / -0.00950386 | 0.0177393 / -0.0177393 | 0.0164018 / -0.0164018 | 0.019028 / -0.019028 | 0.0063321 / -0.0063321 | 0.00735724 / -0.00735724 | 0.0101356 / -0.0101356 |
 | gamma_stat_LowMVA__MLP_RUN3_bin_6 | 0.022714 / -0.022714 | 0.0222505 / -0.0222505 | 0.016316 / -0.016316 | 0.0224226 / -0.0224226 | 0.0111743 / -0.0111743 | 0.0171332 / -0.0171332 | 0.0213184 / -0.0213184 | 0.0141385 / -0.0141385 | 0.00296972 / -0.00296972 | 0.00777631 / -0.00777631 |
 | gamma_stat_LowMVA__MLP_RUN3_bin_7 | 0.0199398 / -0.0199398 | 0.03052 / -0.03052 | 0.0116444 / -0.0116444 | 0.00572014 / -0.00572014 | 0.00830341 / -0.00830341 | 0.0163195 / -0.0163195 | 0.0201908 / -0.0201908 | 0.00365677 / -0.00365677 | 0.00362061 / -0.00362061 | 0.00424982 / -0.00424982 |
