 |       | HHggF      | HHVBF      | t      | Othertop      | Single-H      | VV      | VVV      | V      | W+jets      | Z+jets |
 | gamma_stat_SR__XGB_COMBINED_bin_0 | 0.000841636 / -0.000841636 | 0.00172545 / -0.00172545 | 0.00812989 / -0.00812989 | 0.00831415 / -0.00831415 | 0.00181046 / -0.00181046 | 0.00694678 / -0.00694678 | 0.00624274 / -0.00624274 | 0.00691646 / -0.00691646 | 0.00959269 / -0.00959269 | 0.0117212 / -0.0117212 |
 | gamma_stat_SR__XGB_COMBINED_bin_1 | 0.00119809 / -0.00119809 | 0.00262849 / -0.00262849 | 0.00860796 / -0.00860796 | 0.00742315 / -0.00742315 | 0.00378305 / -0.00378305 | 0.00864195 / -0.00864195 | 0.00728813 / -0.00728813 | 0.0089025 / -0.0089025 | 0.00955455 / -0.00955455 | 0.0112766 / -0.0112766 |
 | gamma_stat_SR__XGB_COMBINED_bin_2 | 0.00209124 / -0.00209124 | 0.00427525 / -0.00427525 | 0.0103037 / -0.0103037 | 0.0104139 / -0.0104139 | 0.0105162 / -0.0105162 | 0.0100526 / -0.0100526 | 0.00940996 / -0.00940996 | 0.0118815 / -0.0118815 | 0.0121176 / -0.0121176 | 0.0111665 / -0.0111665 |
 | gamma_stat_SR__XGB_COMBINED_bin_3 | 0.00319444 / -0.00319444 | 0.00464333 / -0.00464333 | 0.00813168 / -0.00813168 | 0.0092114 / -0.0092114 | 0.0113203 / -0.0113203 | 0.00854557 / -0.00854557 | 0.00914631 / -0.00914631 | 0.00792279 / -0.00792279 | 0.00716069 / -0.00716069 | 0.00630912 / -0.00630912 |
 | gamma_stat_SR__XGB_COMBINED_bin_4 | 0.00670383 / -0.00670383 | 0.00885681 / -0.00885681 | 0.007737 / -0.007737 | 0.00879161 / -0.00879161 | 0.00686283 / -0.00686283 | 0.00853583 / -0.00853583 | 0.0091433 / -0.0091433 | 0.00544302 / -0.00544302 | 0.00626213 / -0.00626213 | 0.0057267 / -0.0057267 |
 | gamma_stat_SR__XGB_COMBINED_bin_5 | 0.012392 / -0.012392 | 0.0136436 / -0.0136436 | 0.00779398 / -0.00779398 | 0.00457946 / -0.00457946 | 0.00881402 / -0.00881402 | 0.00702414 / -0.00702414 | 0.00822984 / -0.00822984 | 0.0102222 / -0.0102222 | 0.00762243 / -0.00762243 | 0.00603513 / -0.00603513 |
 | gamma_stat_SR__XGB_COMBINED_bin_6 | 0.0151871 / -0.0151871 | 0.013004 / -0.013004 | 0.00273182 / -0.00273182 | 0.00407709 / -0.00407709 | 0.00818859 / -0.00818859 | 0.00320551 / -0.00320551 | 0.00407889 / -0.00407889 | 0.00273007 / -0.00273007 | 0.00182611 / -0.00182611 | 0.00121216 / -0.00121216 |
 | gamma_stat_SR__XGB_COMBINED_bin_7 | 0.057023 / -0.057023 | 0.0333125 / -0.0333125 | 0.00249543 / -0.00249543 | 0.00301534 / -0.00301534 | 0.0115928 / -0.0115928 | 0.00261674 / -0.00261674 | 0.00302985 / -0.00302985 | 0.00155676 / -0.00155676 | 6.62506e-10 / -6.62506e-10 | 0.000718416 / -0.000718416 |
 | mu_XS_hh | 8.14635 / -6.52011 | 8.14635 / -6.52011 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
