 |       | HHggF      | HHVBF      | t      | Othertop      | Single-H      | VV      | VVV      | V      | W+jets      | Z+jets |
 | gamma_stat_SR__XGB_COMBINED_bin_0 | 0.00141963 / -0.00141963 | 0.00291041 / -0.00291041 | 0.0137131 / -0.0137131 | 0.0140239 / -0.0140239 | 0.0030538 / -0.0030538 | 0.0117175 / -0.0117175 | 0.0105299 / -0.0105299 | 0.0116663 / -0.0116663 | 0.0161805 / -0.0161805 | 0.0197707 / -0.0197707 |
 | gamma_stat_SR__XGB_COMBINED_bin_1 | 0.00156812 / -0.00156812 | 0.00344031 / -0.00344031 | 0.0112666 / -0.0112666 | 0.00971581 / -0.00971581 | 0.00495146 / -0.00495146 | 0.011311 / -0.011311 | 0.00953909 / -0.00953909 | 0.0116521 / -0.0116521 | 0.0125055 / -0.0125055 | 0.0147594 / -0.0147594 |
 | gamma_stat_SR__XGB_COMBINED_bin_2 | 0.00336264 / -0.00336264 | 0.00687447 / -0.00687447 | 0.0165681 / -0.0165681 | 0.0167453 / -0.0167453 | 0.0169097 / -0.0169097 | 0.0161643 / -0.0161643 | 0.0151309 / -0.0151309 | 0.0191051 / -0.0191051 | 0.0194848 / -0.0194848 | 0.0179553 / -0.0179553 |
 | gamma_stat_SR__XGB_COMBINED_bin_3 | 0.00404326 / -0.00404326 | 0.00587715 / -0.00587715 | 0.0102924 / -0.0102924 | 0.011659 / -0.011659 | 0.0143283 / -0.0143283 | 0.0108163 / -0.0108163 | 0.0115767 / -0.0115767 | 0.010028 / -0.010028 | 0.00906342 / -0.00906342 | 0.00798557 / -0.00798557 |
 | gamma_stat_SR__XGB_COMBINED_bin_4 | 0.00893313 / -0.00893313 | 0.0118021 / -0.0118021 | 0.0103099 / -0.0103099 | 0.0117152 / -0.0117152 | 0.009145 / -0.009145 | 0.0113743 / -0.0113743 | 0.0121838 / -0.0121838 | 0.00725304 / -0.00725304 | 0.00834455 / -0.00834455 | 0.00763107 / -0.00763107 |
 | gamma_stat_SR__XGB_COMBINED_bin_5 | 0.0192467 / -0.0192467 | 0.0211906 / -0.0211906 | 0.0121053 / -0.0121053 | 0.00711262 / -0.00711262 | 0.0136896 / -0.0136896 | 0.0109096 / -0.0109096 | 0.0127822 / -0.0127822 | 0.0158766 / -0.0158766 | 0.0118388 / -0.0118388 | 0.0093735 / -0.0093735 |
 | gamma_stat_SR__XGB_COMBINED_bin_6 | 0.0167205 / -0.0167205 | 0.0143169 / -0.0143169 | 0.00300764 / -0.00300764 | 0.00448874 / -0.00448874 | 0.00901536 / -0.00901536 | 0.00352916 / -0.00352916 | 0.00449072 / -0.00449072 | 0.00300571 / -0.00300571 | 0.00201048 / -0.00201048 | 0.00133455 / -0.00133455 |
 | gamma_stat_SR__XGB_COMBINED_bin_7 | 0.0584418 / -0.0584418 | 0.0341414 / -0.0341414 | 0.00255751 / -0.00255751 | 0.00309036 / -0.00309036 | 0.0118812 / -0.0118812 | 0.00268185 / -0.00268185 | 0.00310524 / -0.00310524 | 0.00159549 / -0.00159549 | 6.7899e-10 / -6.7899e-10 | 0.00073629 / -0.00073629 |
