 |       | HHggF      | HHVBF      | t      | Othertop      | Single-H      | VV      | VVV      | V      | W+jets      | Z+jets |
 | gamma_stat_SR__GNN_COMBINED_bin_0 | 0.00260535 / -0.00260535 | 0.00390274 / -0.00390274 | 0.0131911 / -0.0131911 | 0.0153737 / -0.0153737 | 0.0358918 / -0.0358918 | 0.0149324 / -0.0149324 | 0.00501045 / -0.00501045 | 0.027712 / -0.027712 | 0.0049205 / -0.0049205 | 0.0288358 / -0.0288358 |
 | gamma_stat_SR__GNN_COMBINED_bin_1 | 0.00873688 / -0.00873688 | 0.0131919 / -0.0131919 | 0.0378247 / -0.0378247 | 0.0360292 / -0.0360292 | 0.0349162 / -0.0349162 | 0.0341613 / -0.0341613 | 0.0159909 / -0.0159909 | 0.035646 / -0.035646 | 0.0589843 / -0.0589843 | 0.0361416 / -0.0361416 |
 | gamma_stat_SR__GNN_COMBINED_bin_2 | 0.0056041 / -0.0056041 | 0.00942199 / -0.00942199 | 0.0185577 / -0.0185577 | 0.0155903 / -0.0155903 | 0.00744531 / -0.00744531 | 0.0155134 / -0.0155134 | 0.00942535 / -0.00942535 | 0.0201671 / -0.0201671 | 0.0203393 / -0.0203393 | 0.0182892 / -0.0182892 |
 | gamma_stat_SR__GNN_COMBINED_bin_3 | 0.0104702 / -0.0104702 | 0.0152132 / -0.0152132 | 0.0207333 / -0.0207333 | 0.0183409 / -0.0183409 | 0.0146836 / -0.0146836 | 0.0180381 / -0.0180381 | 0.0157637 / -0.0157637 | 0.017014 / -0.017014 | 0.000504619 / -0.000504619 | 0.0202846 / -0.0202846 |
 | gamma_stat_SR__GNN_COMBINED_bin_4 | 0.0284731 / -0.0284731 | 0.0350653 / -0.0350653 | 0.0285987 / -0.0285987 | 0.0344175 / -0.0344175 | 0.0144552 / -0.0144552 | 0.0298836 / -0.0298836 | 0.0308056 / -0.0308056 | 0.0224738 / -0.0224738 | 0.0679053 / -0.0679053 | 0.0298114 / -0.0298114 |
 | gamma_stat_SR__GNN_COMBINED_bin_5 | 0.0207643 / -0.0207643 | 0.0224022 / -0.0224022 | 0.0104246 / -0.0104246 | 0.0120829 / -0.0120829 | 0.00818669 / -0.00818669 | 0.0133677 / -0.0133677 | 0.02031 / -0.02031 | 0.00515684 / -0.00515684 | 0.00565523 / -0.00565523 | 0.00300055 / -0.00300055 |
 | gamma_stat_SR__GNN_COMBINED_bin_6 | 0.0203655 / -0.0203655 | 0.0160076 / -0.0160076 | 0.0050797 / -0.0050797 | 0.00332117 / -0.00332117 | 0.00286141 / -0.00286141 | 0.0067631 / -0.0067631 | 0.017318 / -0.017318 | 0.00261449 / -0.00261449 | 0.00252197 / -0.00252197 | 0.00166318 / -0.00166318 |
 | gamma_stat_SR__GNN_COMBINED_bin_7 | 0.0333837 / -0.0333837 | 0.0167442 / -0.0167442 | 0.00278997 / -0.00278997 | 0.00540308 / -0.00540308 | 0.0189264 / -0.0189264 | 0.00426607 / -0.00426607 | 0.0163605 / -0.0163605 | 0.00442507 / -0.00442507 | 8.58643e-05 / -8.58643e-05 | 0.000573827 / -0.000573827 |
