 |       | HHggF      | HHVBF      | t      | Othertop      | Single-H      | VV      | VVV      | V      | W+jets      | Z+jets |
 | gamma_stat_SR__XGB_COMBINED_bin_0 | 0.00101578 / -0.00101578 | 0.00184432 / -0.00184432 | 0.0113882 / -0.0113882 | 0.0127949 / -0.0127949 | 0.014785 / -0.014785 | 0.00993365 / -0.00993365 | 0.0093899 / -0.0093899 | 0.0215572 / -0.0215572 | 1.3819e-08 / -1.3819e-08 | 0.0158608 / -0.0158608 |
 | gamma_stat_SR__XGB_COMBINED_bin_1 | 0.00137445 / -0.00137445 | 0.00280081 / -0.00280081 | 0.0131942 / -0.0131942 | 0.00804603 / -0.00804603 | 0.0147175 / -0.0147175 | 0.0113884 / -0.0113884 | 0.00773319 / -0.00773319 | 0.0164206 / -0.0164206 | 0.0392966 / -0.0392966 | 0.0233176 / -0.0233176 |
 | gamma_stat_SR__XGB_COMBINED_bin_2 | 0.00259437 / -0.00259437 | 0.00451491 / -0.00451491 | 0.0160688 / -0.0160688 | 0.0232481 / -0.0232481 | 0.0142686 / -0.0142686 | 0.0143297 / -0.0143297 | 0.0131906 / -0.0131906 | 0.0147995 / -0.0147995 | 0.00383743 / -0.00383743 | 0.0175222 / -0.0175222 |
 | gamma_stat_SR__XGB_COMBINED_bin_3 | 0.00487777 / -0.00487777 | 0.00922056 / -0.00922056 | 0.0191109 / -0.0191109 | 0.016046 / -0.016046 | 0.00688785 / -0.00688785 | 0.0159989 / -0.0159989 | 0.0137044 / -0.0137044 | 0.0195432 / -0.0195432 | 0.011373 / -0.011373 | 0.0168256 / -0.0168256 |
 | gamma_stat_SR__XGB_COMBINED_bin_4 | 0.00793548 / -0.00793548 | 0.0120977 / -0.0120977 | 0.0139321 / -0.0139321 | 0.014056 / -0.014056 | 0.010275 / -0.010275 | 0.0136293 / -0.0136293 | 0.0137085 / -0.0137085 | 0.0114601 / -0.0114601 | 0.0307848 / -0.0307848 | 0.00957422 / -0.00957422 |
 | gamma_stat_SR__XGB_COMBINED_bin_5 | 0.0163562 / -0.0163562 | 0.021717 / -0.021717 | 0.0108289 / -0.0108289 | 0.00559879 / -0.00559879 | 0.0145051 / -0.0145051 | 0.012191 / -0.012191 | 0.0156373 / -0.0156373 | 0.00396326 / -0.00396326 | 0.00333459 / -0.00333459 | 0.00414972 / -0.00414972 |
 | gamma_stat_SR__XGB_COMBINED_bin_6 | 0.0236542 / -0.0236542 | 0.0202979 / -0.0202979 | 0.00158081 / -0.00158081 | 0.00318087 / -0.00318087 | 0.00975417 / -0.00975417 | 0.00769208 / -0.00769208 | 0.0100734 / -0.0100734 | 0.00186153 / -0.00186153 | 1.96572e-08 / -1.96572e-08 | 0.00154786 / -0.00154786 |
 | gamma_stat_SR__XGB_COMBINED_bin_7 | 0.0449516 / -0.0449516 | 0.023228 / -0.023228 | 0.00158223 / -0.00158223 | 0.00168347 / -0.00168347 | 0.00321447 / -0.00321447 | 0.0033777 / -0.0033777 | 0.0051941 / -0.0051941 | 4.78783e-05 / -4.78783e-05 | 2.69388e-08 / -2.69388e-08 | 0.000326372 / -0.000326372 |
 | mu_XS_hh | -2.66008 / 2.28247 | -2.66008 / 2.28247 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
