 |       | HHggF      | HHVBF      | t      | Othertop      | Single-H      | VV      | VVV      | V      | W+jets      | Z+jets |
 | gamma_stat_LowMVA__DNN_COMBINED_bin_0 | 0.00136833 / -0.00136833 | 0.00153366 / -0.00153366 | 0.00535867 / -0.00535867 | 0.013576 / -0.013576 | 0.0109828 / -0.0109828 | 0.00841738 / -0.00841738 | 0.00626594 / -0.00626594 | 0.023138 / -0.023138 | 0.0341814 / -0.0341814 | 0.0264409 / -0.0264409 |
 | gamma_stat_LowMVA__DNN_COMBINED_bin_1 | 0.00738644 / -0.00738644 | 0.00796194 / -0.00796194 | 0.0132899 / -0.0132899 | 0.0152283 / -0.0152283 | 0.0101601 / -0.0101601 | 0.0133585 / -0.0133585 | 0.0072004 / -0.0072004 | 0.0243725 / -0.0243725 | 0.0400274 / -0.0400274 | 0.0289748 / -0.0289748 |
 | gamma_stat_LowMVA__DNN_COMBINED_bin_2 | 0.00834702 / -0.00834702 | 0.00824988 / -0.00824988 | 0.0132199 / -0.0132199 | 0.0140359 / -0.0140359 | 0.00496002 / -0.00496002 | 0.00899295 / -0.00899295 | 0.00840491 / -0.00840491 | 0.0162496 / -0.0162496 | 0.0116083 / -0.0116083 | 0.014302 / -0.014302 |
 | gamma_stat_LowMVA__DNN_COMBINED_bin_3 | 0.01249 / -0.01249 | 0.0103792 / -0.0103792 | 0.0145666 / -0.0145666 | 0.0126827 / -0.0126827 | 0.0246095 / -0.0246095 | 0.0111256 / -0.0111256 | 0.00915618 / -0.00915618 | 0.0161603 / -0.0161603 | 0.00944096 / -0.00944096 | 0.0122625 / -0.0122625 |
 | gamma_stat_LowMVA__DNN_COMBINED_bin_4 | 0.0106443 / -0.0106443 | 0.0114671 / -0.0114671 | 0.0119936 / -0.0119936 | 0.00833118 / -0.00833118 | 0.0079625 / -0.0079625 | 0.00961854 / -0.00961854 | 0.0102043 / -0.0102043 | 0.00738826 / -0.00738826 | 0.00647534 / -0.00647534 | 0.00786368 / -0.00786368 |
 | gamma_stat_LowMVA__DNN_COMBINED_bin_5 | 0.0115522 / -0.0115522 | 0.0117006 / -0.0117006 | 0.010298 / -0.010298 | 0.00863432 / -0.00863432 | 0.0117455 / -0.0117455 | 0.0112293 / -0.0112293 | 0.0132329 / -0.0132329 | 0.0055178 / -0.0055178 | 0.0038813 / -0.0038813 | 0.00558047 / -0.00558047 |
 | gamma_stat_LowMVA__DNN_COMBINED_bin_6 | 0.0112853 / -0.0112853 | 0.0131124 / -0.0131124 | 0.00779584 / -0.00779584 | 0.0101948 / -0.0101948 | 0.00786219 / -0.00786219 | 0.0094979 / -0.0094979 | 0.0114532 / -0.0114532 | 0.00230423 / -0.00230423 | 0.00203592 / -0.00203592 | 0.00352209 / -0.00352209 |
 | gamma_stat_LowMVA__DNN_COMBINED_bin_7 | 0.0193809 / -0.0193809 | 0.0168617 / -0.0168617 | 0.0102202 / -0.0102202 | 0.00699105 / -0.00699105 | 0.01038 / -0.01038 | 0.0154842 / -0.0154842 | 0.0170301 / -0.0170301 | 0.00614817 / -0.00614817 | 0.00394964 / -0.00394964 | 0.00423409 / -0.00423409 |
