 |       | HHggF      | HHVBF      | t      | Othertop      | Single-H      | VV      | VVV      | V      | W+jets      | Z+jets |
 | gamma_stat_SR__XGB_RUN2_bin_0 | 0.000884301 / -0.000884301 | 0.00162033 / -0.00162033 | 0.00967304 / -0.00967304 | 0.0078148 / -0.0078148 | 0.000990586 / -0.000990586 | 0.00824733 / -0.00824733 | 0.00647327 / -0.00647327 | 0.0100256 / -0.0100256 | 0.0132685 / -0.0132685 | 0.0157681 / -0.0157681 |
 | gamma_stat_SR__XGB_RUN2_bin_1 | 0.00173904 / -0.00173904 | 0.00309595 / -0.00309595 | 0.0114804 / -0.0114804 | 0.00997781 / -0.00997781 | 0.00433745 / -0.00433745 | 0.0120015 / -0.0120015 | 0.00918877 / -0.00918877 | 0.00850909 / -0.00850909 | 0.015904 / -0.015904 | 0.0144474 / -0.0144474 |
 | gamma_stat_SR__XGB_RUN2_bin_2 | 0.00368851 / -0.00368851 | 0.00679712 / -0.00679712 | 0.0138891 / -0.0138891 | 0.0173246 / -0.0173246 | 0.0125131 / -0.0125131 | 0.0162118 / -0.0162118 | 0.0139494 / -0.0139494 | 0.0157615 / -0.0157615 | 0.0297736 / -0.0297736 | 0.0169397 / -0.0169397 |
 | gamma_stat_SR__XGB_RUN2_bin_3 | 0.00395855 / -0.00395855 | 0.00604558 / -0.00604558 | 0.011152 / -0.011152 | 0.0120828 / -0.0120828 | 0.0125397 / -0.0125397 | 0.0103547 / -0.0103547 | 0.0102781 / -0.0102781 | 0.00861042 / -0.00861042 | 0.00481909 / -0.00481909 | 0.0094551 / -0.0094551 |
 | gamma_stat_SR__XGB_RUN2_bin_4 | 0.00672665 / -0.00672665 | 0.0092885 / -0.0092885 | 0.00781498 / -0.00781498 | 0.00991185 / -0.00991185 | 0.00763221 / -0.00763221 | 0.0083151 / -0.0083151 | 0.0118286 / -0.0118286 | 0.0140901 / -0.0140901 | 0.00304711 / -0.00304711 | 0.00499096 / -0.00499096 |
 | gamma_stat_SR__XGB_RUN2_bin_5 | 0.00951616 / -0.00951616 | 0.0115433 / -0.0115433 | 0.00651246 / -0.00651246 | 0.00364368 / -0.00364368 | 0.0101561 / -0.0101561 | 0.00542921 / -0.00542921 | 0.00663997 / -0.00663997 | 0.00462933 / -0.00462933 | 0.00258682 / -0.00258682 | 0.00312843 / -0.00312843 |
 | gamma_stat_SR__XGB_RUN2_bin_6 | 0.021155 / -0.021155 | 0.0189419 / -0.0189419 | 0.00355093 / -0.00355093 | 0.0050335 / -0.0050335 | 0.00981986 / -0.00981986 | 0.00469542 / -0.00469542 | 0.00548123 / -0.00548123 | 0.00311911 / -0.00311911 | 0.00349763 / -0.00349763 | 0.00302936 / -0.00302936 |
 | gamma_stat_SR__XGB_RUN2_bin_7 | 0.0636396 / -0.0636396 | 0.0321662 / -0.0321662 | 0.00365167 / -0.00365167 | 0.00181864 / -0.00181864 | 0.0221677 / -0.0221677 | 0.00308254 / -0.00308254 | 0.00352612 / -0.00352612 | 0.00248935 / -0.00248935 | 0.000213778 / -0.000213778 | 0.00131352 / -0.00131352 |
 | mu_XS_hh | 12.818 / -9.85207 | 12.818 / -9.85207 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
