 |       | HHggF      | HHVBF      | t      | Othertop      | Single-H      | VV      | VVV      | V      | W+jets      | Z+jets |
 | gamma_stat_SR__GNN_COMBINED_bin_0 | 0.00173358 / -0.00173358 | 0.00259686 / -0.00259686 | 0.00877724 / -0.00877724 | 0.0102296 / -0.0102296 | 0.0238822 / -0.0238822 | 0.00993589 / -0.00993589 | 0.00333392 / -0.00333392 | 0.0184394 / -0.0184394 | 0.00327406 / -0.00327406 | 0.0191872 / -0.0191872 |
 | gamma_stat_SR__GNN_COMBINED_bin_1 | 0.00422168 / -0.00422168 | 0.00637434 / -0.00637434 | 0.018277 / -0.018277 | 0.0174094 / -0.0174094 | 0.0168716 / -0.0168716 | 0.0165068 / -0.0165068 | 0.00772685 / -0.00772685 | 0.0172242 / -0.0172242 | 0.0285013 / -0.0285013 | 0.0174637 / -0.0174637 |
 | gamma_stat_SR__GNN_COMBINED_bin_2 | 0.00418404 / -0.00418404 | 0.0070345 / -0.0070345 | 0.0138552 / -0.0138552 | 0.0116398 / -0.0116398 | 0.0055587 / -0.0055587 | 0.0115824 / -0.0115824 | 0.007037 / -0.007037 | 0.0150569 / -0.0150569 | 0.0151854 / -0.0151854 | 0.0136548 / -0.0136548 |
 | gamma_stat_SR__GNN_COMBINED_bin_3 | 0.00736827 / -0.00736827 | 0.010706 / -0.010706 | 0.0145907 / -0.0145907 | 0.0129071 / -0.0129071 | 0.0103333 / -0.0103333 | 0.0126941 / -0.0126941 | 0.0110934 / -0.0110934 | 0.0119734 / -0.0119734 | 0.000355118 / -0.000355118 | 0.014275 / -0.014275 |
 | gamma_stat_SR__GNN_COMBINED_bin_4 | 0.014482 / -0.014482 | 0.0178349 / -0.0178349 | 0.0145459 / -0.0145459 | 0.0175054 / -0.0175054 | 0.0073522 / -0.0073522 | 0.0151994 / -0.0151994 | 0.0156684 / -0.0156684 | 0.0114306 / -0.0114306 | 0.034538 / -0.034538 | 0.0151627 / -0.0151627 |
 | gamma_stat_SR__GNN_COMBINED_bin_5 | 0.0180143 / -0.0180143 | 0.0194353 / -0.0194353 | 0.00904393 / -0.00904393 | 0.0104826 / -0.0104826 | 0.00710244 / -0.00710244 | 0.0115973 / -0.0115973 | 0.0176201 / -0.0176201 | 0.00447387 / -0.00447387 | 0.00490625 / -0.00490625 | 0.00260316 / -0.00260316 |
 | gamma_stat_SR__GNN_COMBINED_bin_6 | 0.0192662 / -0.0192662 | 0.0151435 / -0.0151435 | 0.0048055 / -0.0048055 | 0.00314189 / -0.00314189 | 0.00270695 / -0.00270695 | 0.00639803 / -0.00639803 | 0.0163832 / -0.0163832 | 0.00247336 / -0.00247336 | 0.00238583 / -0.00238583 | 0.0015734 / -0.0015734 |
 | gamma_stat_SR__GNN_COMBINED_bin_7 | 0.0322298 / -0.0322298 | 0.0161655 / -0.0161655 | 0.00269353 / -0.00269353 | 0.00521632 / -0.00521632 | 0.0182722 / -0.0182722 | 0.00411862 / -0.00411862 | 0.015795 / -0.015795 | 0.00427212 / -0.00427212 | 8.28964e-05 / -8.28964e-05 | 0.000553993 / -0.000553993 |
 | mu_XS_hh | 13.9894 / -11.8549 | 13.9894 / -11.8549 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
